Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
P23276	Homo sapiens	Metazoa	732	False	False
P26718	Homo sapiens	Metazoa	216	False	False
Q7Z6L0	Homo sapiens	Metazoa	340	False	False
Q8IUY3	Homo sapiens	Metazoa	354	False	False
Q8IWV1	Homo sapiens	Metazoa	398	False	False
Q8NCT1	Homo sapiens	Metazoa	418	False	False
O60336	Homo sapiens	Metazoa	1514	False	False
Q8WXD5	Homo sapiens	Metazoa	167	False	False
Q93009	Homo sapiens	Metazoa	1102	False	False
Q9HAF1	Homo sapiens	Metazoa	191	False	False
Q9HB90	Homo sapiens	Metazoa	399	False	False
Q9UMS4	Homo sapiens	Metazoa	504	False	False
Q70SY1	Homo sapiens	Metazoa	520	False	False
O15554	Homo sapiens	Metazoa	427	False	False
P21728	Homo sapiens	Metazoa	446	False	False
Q13325	Homo sapiens	Metazoa	482	False	False
Q5TGU0	Homo sapiens	Metazoa	170	False	True
Q96RT1	Homo sapiens	Metazoa	1412	False	False
Q9BRV3	Homo sapiens	Metazoa	221	False	False
Q9HAS3	Homo sapiens	Metazoa	691	False	False
Q96HD9	Homo sapiens	Metazoa	319	False	False
Q56WD9	Arabidopsis thaliana	Viridiplantae	462	False	False
P46100	Homo sapiens	Metazoa	2492	False	False
P82094	Homo sapiens	Metazoa	1093	False	False
Q9UFC0	Homo sapiens	Metazoa	647	False	False
O75030	Homo sapiens	Metazoa	526	False	False
Q7L523	Homo sapiens	Metazoa	313	False	False
Q99873	Homo sapiens	Metazoa	371	False	False
P23497	Homo sapiens	Metazoa	879	False	False
P60484	Homo sapiens	Metazoa	403	False	False
Q13352	Homo sapiens	Metazoa	177	False	False
Q32P44	Homo sapiens	Metazoa	896	False	False
A0FGR8	Homo sapiens	Metazoa	921	False	False
O43687	Homo sapiens	Metazoa	104	False	False
Q9Y2I1	Homo sapiens	Metazoa	1504	False	False
B2RUZ4	Homo sapiens	Metazoa	78	False	False
P14415	Homo sapiens	Metazoa	290	False	False
Q8IU80	Homo sapiens	Metazoa	811	False	False
Q9NY25	Homo sapiens	Metazoa	188	False	False
Q9UP52	Homo sapiens	Metazoa	801	False	False
Q9NQL2	Homo sapiens	Metazoa	400	False	False
P67809	Homo sapiens	Metazoa	324	False	False
Q8TEQ6	Homo sapiens	Metazoa	1508	False	False
A0FGR9	Homo sapiens	Metazoa	886	False	True
P62834	Homo sapiens	Metazoa	184	False	False
Q9BSJ8	Homo sapiens	Metazoa	1104	False	True
P04921	Homo sapiens	Metazoa	128	False	False
Q16853	Homo sapiens	Metazoa	763	False	False
Q9GZY6	Homo sapiens	Metazoa	243	False	False
Q9H7V2	Homo sapiens	Metazoa	258	False	False
Q9NWQ8	Homo sapiens	Metazoa	432	False	False
Q9UNG2	Homo sapiens	Metazoa	177	False	False
Q5EBL8	Homo sapiens	Metazoa	140	False	False
Q6R327	Homo sapiens	Metazoa	1708	False	False
Q6S5L8	Homo sapiens	Metazoa	630	False	False
Q9H2K8	Homo sapiens	Metazoa	898	False	False
Q9Y4E1	Homo sapiens	Metazoa	1341	False	False
P41440	Homo sapiens	Metazoa	591	False	False
Q5T3U5	Homo sapiens	Metazoa	1492	False	True
Q9Y6L6	Homo sapiens	Metazoa	691	False	False
Q15049	Homo sapiens	Metazoa	377	False	True
Q8WUU8	Homo sapiens	Metazoa	243	False	True
O43561	Homo sapiens	Metazoa	262	False	False
O75056	Homo sapiens	Metazoa	442	False	False
P42892	Homo sapiens	Metazoa	770	False	False
Q02223	Homo sapiens	Metazoa	184	False	False
Q07075	Homo sapiens	Metazoa	957	False	False
Q6PIZ9	Homo sapiens	Metazoa	186	False	False
Q6UXB4	Homo sapiens	Metazoa	293	False	False
Q9BXN2	Homo sapiens	Metazoa	247	False	False
Q9H400	Homo sapiens	Metazoa	295	False	False
P11802	Homo sapiens	Metazoa	303	False	False
P19544	Homo sapiens	Metazoa	449	False	False
Q86TG7	Homo sapiens	Metazoa	708	False	False
Q9H7Z3	Homo sapiens	Metazoa	1164	False	False
Q13023	Homo sapiens	Metazoa	2319	False	False
O14713	Homo sapiens	Metazoa	200	False	False
P26651	Homo sapiens	Metazoa	326	False	False
Q07352	Homo sapiens	Metazoa	338	False	False
Q8IY18	Homo sapiens	Metazoa	1101	False	False
Q96MF7	Homo sapiens	Metazoa	247	False	False
Q9UQB9	Homo sapiens	Metazoa	309	False	False
O43543	Homo sapiens	Metazoa	280	False	False
Q01201	Homo sapiens	Metazoa	579	False	False
Q14839	Homo sapiens	Metazoa	1912	False	False
Q15654	Homo sapiens	Metazoa	476	False	False
Q5T6F0	Homo sapiens	Metazoa	453	False	False
Q70EL3	Homo sapiens	Metazoa	339	False	False
Q9H4X1	Homo sapiens	Metazoa	137	False	False
Q9ULW0	Homo sapiens	Metazoa	747	False	False
Q9Y4B6	Homo sapiens	Metazoa	1507	False	False
Q99732	Homo sapiens	Metazoa	161	False	False
Q9H0H5	Homo sapiens	Metazoa	632	False	False
O00476	Homo sapiens	Metazoa	420	False	False
O60312	Homo sapiens	Metazoa	1499	False	True
Q14003	Homo sapiens	Metazoa	757	False	False
Q86UF1	Homo sapiens	Metazoa	283	False	True
Q96G30	Homo sapiens	Metazoa	205	False	True
Q9Y5L3	Homo sapiens	Metazoa	495	False	True
P24385	Homo sapiens	Metazoa	295	False	False
P42285	Homo sapiens	Metazoa	1042	False	False
Q86XP3	Homo sapiens	Metazoa	938	False	False
Q8IYM9	Homo sapiens	Metazoa	498	False	False
Q96B42	Homo sapiens	Metazoa	140	False	True
P30279	Homo sapiens	Metazoa	289	False	False
Q12923	Homo sapiens	Metazoa	2485	False	False
Q9H0H0	Homo sapiens	Metazoa	1204	False	False
Q9H307	Homo sapiens	Metazoa	717	False	False
Q9Y3Y2	Homo sapiens	Metazoa	248	False	False
Q13418	Homo sapiens	Metazoa	452	False	False
Q9NP58	Homo sapiens	Metazoa	842	False	True
P00813	Homo sapiens	Metazoa	363	False	False
P05109	Homo sapiens	Metazoa	93	False	False
P54851	Homo sapiens	Metazoa	167	False	True
Q6NSJ5	Homo sapiens	Metazoa	796	False	False
O75955	Homo sapiens	Metazoa	427	False	False
O94956	Homo sapiens	Metazoa	709	False	False
Q7L1W4	Homo sapiens	Metazoa	858	False	False
Q7Z2W7	Homo sapiens	Metazoa	1104	False	False
Q8NDX1	Homo sapiens	Metazoa	1056	False	False
Q8TCY5	Homo sapiens	Metazoa	172	False	True
Q96PS8	Homo sapiens	Metazoa	301	False	False
Q9NRM0	Homo sapiens	Metazoa	540	False	False
O00161	Homo sapiens	Metazoa	211	False	False
Q9NPB9	Homo sapiens	Metazoa	350	False	False
O60235	Homo sapiens	Metazoa	418	False	False
Q13368	Homo sapiens	Metazoa	585	False	False
Q9UIQ6	Homo sapiens	Metazoa	1025	False	False
Q2M3R5	Homo sapiens	Metazoa	365	False	True
Q6UX01	Homo sapiens	Metazoa	489	False	True
Q8N1N2	Homo sapiens	Metazoa	210	False	False
Q8TDX9	Homo sapiens	Metazoa	2849	False	False
Q96GS6	Homo sapiens	Metazoa	310	False	False
Q9GZN0	Homo sapiens	Metazoa	384	False	False
Q9UIG8	Homo sapiens	Metazoa	710	False	False
P78406	Homo sapiens	Metazoa	368	False	False
Q92794	Homo sapiens	Metazoa	2004	False	False
Q5UIP0	Homo sapiens	Metazoa	2472	False	False
Q96FV9	Homo sapiens	Metazoa	657	False	False
Q9NRZ7	Homo sapiens	Metazoa	376	False	False
P36404	Homo sapiens	Metazoa	184	False	False
Q13188	Homo sapiens	Metazoa	491	False	False
Q6IN85	Homo sapiens	Metazoa	833	False	False
Q92831	Homo sapiens	Metazoa	832	False	False
O95551	Homo sapiens	Metazoa	362	False	False
Q15018	Homo sapiens	Metazoa	415	False	False
Q9BUR4	Homo sapiens	Metazoa	548	False	False
Q9H814	Homo sapiens	Metazoa	394	False	False
Q9NRR5	Homo sapiens	Metazoa	601	False	False
O95858	Homo sapiens	Metazoa	294	False	True
P80511	Homo sapiens	Metazoa	92	False	False
P63010	Homo sapiens	Metazoa	937	False	False
P49754	Homo sapiens	Metazoa	854	False	False
P35670	Homo sapiens	Metazoa	1465	False	False
P36382	Homo sapiens	Metazoa	358	False	True
P56880	Homo sapiens	Metazoa	219	False	True
Q6ZMU5	Homo sapiens	Metazoa	477	False	False
Q8NF50	Homo sapiens	Metazoa	2099	False	False
O14827	Homo sapiens	Metazoa	1237	False	False
P78524	Homo sapiens	Metazoa	1137	False	False
Q9Y239	Homo sapiens	Metazoa	953	False	False
O15393	Homo sapiens	Metazoa	492	False	False
O95832	Homo sapiens	Metazoa	211	False	True
Q9Y5Q5	Homo sapiens	Metazoa	1042	False	False
Q92730	Homo sapiens	Metazoa	232	False	False
P24704	Arabidopsis thaliana	Viridiplantae	152	False	False
P30416	Mus musculus	Metazoa	458	False	False
P41813	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	862	False	False
Q5BJZ6	Rattus norvegicus	Metazoa	400	False	False
Q5U4E2	Mus musculus	Metazoa	545	False	False
Q5XIM7	Rattus norvegicus	Metazoa	626	False	False
Q6VAK4	Oryza sativa subsp. japonica	Viridiplantae	149	False	False
Q75H77	Oryza sativa subsp. japonica	Viridiplantae	362	False	False
Q7TSD4	Mus musculus	Metazoa	393	False	False
Q8RW96	Arabidopsis thaliana	Viridiplantae	522	False	False
Q9LTJ6	Arabidopsis thaliana	Viridiplantae	385	False	False
Q9ZNV9	Arabidopsis thaliana	Viridiplantae	154	False	False
Q9H2G9	Homo sapiens	Metazoa	400	False	False
O60934	Homo sapiens	Metazoa	754	False	False
P09622	Homo sapiens	Metazoa	509	False	False
Q6ZN04	Homo sapiens	Metazoa	569	False	False
D3ZDM7	Rattus norvegicus	Metazoa	341	False	False
P30952	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554	False	False
P78362	Homo sapiens	Metazoa	688	False	False
P16452	Homo sapiens	Metazoa	691	False	False
Q9H255	Homo sapiens	Metazoa	320	False	False
Q9Y2J2	Homo sapiens	Metazoa	1087	False	False
Q96CW1	Homo sapiens	Metazoa	435	False	False
Q96NT5	Homo sapiens	Metazoa	459	False	False
Q9NSA0	Homo sapiens	Metazoa	550	False	True
P21826	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554	False	False
O00590	Homo sapiens	Metazoa	384	False	False
O43508	Homo sapiens	Metazoa	249	False	False
P01111	Homo sapiens	Metazoa	189	False	False
P29474	Homo sapiens	Metazoa	1203	False	False
P35611	Homo sapiens	Metazoa	737	False	False
P62070	Homo sapiens	Metazoa	204	False	False
Q68DX3	Homo sapiens	Metazoa	1309	False	False
Q9Y4G8	Homo sapiens	Metazoa	1499	False	False
O75952	Homo sapiens	Metazoa	493	False	False
Q96BK5	Homo sapiens	Metazoa	328	False	False
P35240	Homo sapiens	Metazoa	595	False	False
Q07912	Homo sapiens	Metazoa	1038	False	False
Q9NRP7	Homo sapiens	Metazoa	1315	False	False
Q6P2H8	Homo sapiens	Metazoa	277	False	False
Q9BWF3	Homo sapiens	Metazoa	364	False	False
O95359	Homo sapiens	Metazoa	2948	False	False
P14635	Homo sapiens	Metazoa	433	False	False
Q15942	Homo sapiens	Metazoa	572	False	False
Q4JDL3	Homo sapiens	Metazoa	420	False	False
Q9NS91	Homo sapiens	Metazoa	495	False	False
Q9NY27	Homo sapiens	Metazoa	417	False	False
Q9HBA0	Homo sapiens	Metazoa	871	False	False
P35212	Homo sapiens	Metazoa	333	False	True
Q9NPG8	Homo sapiens	Metazoa	344	False	True
Q9NYX4	Homo sapiens	Metazoa	217	False	True
Q9UKL4	Homo sapiens	Metazoa	321	False	True
O00522	Homo sapiens	Metazoa	736	False	False
P07550	Homo sapiens	Metazoa	413	False	False
P22681	Homo sapiens	Metazoa	906	False	False
P26045	Homo sapiens	Metazoa	913	False	False
Q2M3C6	Homo sapiens	Metazoa	523	False	False
P01375	Homo sapiens	Metazoa	233	False	False
P56750	Homo sapiens	Metazoa	224	False	True
P04083	Homo sapiens	Metazoa	346	False	False
P54274	Homo sapiens	Metazoa	439	False	False
Q8WVE7	Homo sapiens	Metazoa	144	False	True
P28482	Homo sapiens	Metazoa	360	False	False
Q14149	Homo sapiens	Metazoa	939	False	False
Q5VWP2	Homo sapiens	Metazoa	391	False	False
Q8N8Q3	Homo sapiens	Metazoa	282	False	False
Q8TAP9	Homo sapiens	Metazoa	179	False	False
Q96K30	Homo sapiens	Metazoa	269	False	False
O95471	Homo sapiens	Metazoa	211	False	True
P35612	Homo sapiens	Metazoa	726	False	False
Q04609	Homo sapiens	Metazoa	750	False	False
Q5TCQ9	Homo sapiens	Metazoa	1481	False	False
Q96QZ7	Homo sapiens	Metazoa	1491	False	False
Q9Y275	Homo sapiens	Metazoa	285	False	False
P51808	Homo sapiens	Metazoa	116	False	False
Q8IY26	Homo sapiens	Metazoa	295	False	False
Q9NRN9	Homo sapiens	Metazoa	209	False	False
O43189	Homo sapiens	Metazoa	567	False	False
O75116	Homo sapiens	Metazoa	1388	False	False
P0DMV8	Homo sapiens	Metazoa	641	False	False
P51587	Homo sapiens	Metazoa	3418	False	False
P60510	Homo sapiens	Metazoa	307	False	False
Q13015	Homo sapiens	Metazoa	90	False	False
Q5MIZ7	Homo sapiens	Metazoa	849	False	False
Q86UE8	Homo sapiens	Metazoa	772	False	False
Q9H0N0	Homo sapiens	Metazoa	254	False	False
Q9Y2D1	Homo sapiens	Metazoa	282	False	False
O00180	Homo sapiens	Metazoa	336	False	True
P29033	Homo sapiens	Metazoa	226	False	True
O14757	Homo sapiens	Metazoa	476	False	False
P47712	Homo sapiens	Metazoa	749	False	False
P57088	Homo sapiens	Metazoa	247	False	True
Q15020	Homo sapiens	Metazoa	963	False	False
Q8IY37	Homo sapiens	Metazoa	1157	False	False
Q92830	Homo sapiens	Metazoa	837	False	False
Q9BWF2	Homo sapiens	Metazoa	469	False	False
Q9GZZ9	Homo sapiens	Metazoa	404	False	False
P51114	Homo sapiens	Metazoa	621	False	False
Q9ULP9	Homo sapiens	Metazoa	559	False	False
O15245	Homo sapiens	Metazoa	554	False	True
P02786	Homo sapiens	Metazoa	760	False	False
O95239	Homo sapiens	Metazoa	1232	False	False
P61978	Homo sapiens	Metazoa	463	False	False
Q01085	Homo sapiens	Metazoa	375	False	False
O00425	Homo sapiens	Metazoa	579	False	False
Q86UD0	Homo sapiens	Metazoa	394	False	False
O95255	Homo sapiens	Metazoa	1503	False	False
P51810	Homo sapiens	Metazoa	404	False	False
Q96DZ5	Homo sapiens	Metazoa	547	False	False
Q6PHW0	Homo sapiens	Metazoa	289	False	True
Q92619	Homo sapiens	Metazoa	1136	False	False
Q9UIJ5	Homo sapiens	Metazoa	367	False	True
O95377	Homo sapiens	Metazoa	273	False	True
O95452	Homo sapiens	Metazoa	261	False	True
O95500	Homo sapiens	Metazoa	239	False	True
P08034	Homo sapiens	Metazoa	283	False	True
Q5T442	Homo sapiens	Metazoa	439	False	True
Q8N144	Homo sapiens	Metazoa	294	False	True
O75695	Homo sapiens	Metazoa	350	False	False
Q01650	Homo sapiens	Metazoa	507	False	True
Q0GE19	Homo sapiens	Metazoa	340	False	True
Q12955	Homo sapiens	Metazoa	4377	False	False
Q14699	Homo sapiens	Metazoa	578	False	False
O75712	Homo sapiens	Metazoa	270	False	True
P36383	Homo sapiens	Metazoa	396	False	True
P04762	Rattus norvegicus	Metazoa	527	False	False
P58137	Mus musculus	Metazoa	320	False	False
Q8VHK0	Rattus norvegicus	Metazoa	320	False	False
O43451	Homo sapiens	Metazoa	2753	False	False
P22413	Homo sapiens	Metazoa	925	False	False
P62166	Homo sapiens	Metazoa	190	False	False
P06734	Homo sapiens	Metazoa	321	False	False
P35241	Homo sapiens	Metazoa	583	False	False
Q9UPY5	Homo sapiens	Metazoa	501	False	True
Q96AC1	Homo sapiens	Metazoa	680	False	False
O43294	Homo sapiens	Metazoa	461	False	False
O95714	Homo sapiens	Metazoa	4834	False	False
P49790	Homo sapiens	Metazoa	1475	False	False
P50748	Homo sapiens	Metazoa	2209	False	False
Q9BTV5	Homo sapiens	Metazoa	496	False	False
Q9HAI6	Homo sapiens	Metazoa	301	False	False
O14523	Homo sapiens	Metazoa	706	False	True
P98196	Homo sapiens	Metazoa	1134	False	True
Q8TEW0	Homo sapiens	Metazoa	1356	False	False
Q9NZV8	Homo sapiens	Metazoa	630	False	False
O43520	Homo sapiens	Metazoa	1251	False	False
Q7Z2G1	Homo sapiens	Metazoa	153	False	False
O15234	Homo sapiens	Metazoa	703	False	False
O75410	Homo sapiens	Metazoa	805	False	False
Q5EE01	Homo sapiens	Metazoa	88	False	False
Q6P9F0	Homo sapiens	Metazoa	684	False	False
A5PKW4	Homo sapiens	Metazoa	1024	False	False
Q9Y5S8	Homo sapiens	Metazoa	564	False	True
P05981	Homo sapiens	Metazoa	417	False	False
P14410	Homo sapiens	Metazoa	1827	False	False
Q8WXG1	Homo sapiens	Metazoa	361	False	False
Q8IU99	Homo sapiens	Metazoa	346	False	False
Q9NV70	Homo sapiens	Metazoa	894	False	False
P51795	Homo sapiens	Metazoa	816	False	False
P57735	Homo sapiens	Metazoa	213	False	False
Q16617	Homo sapiens	Metazoa	165	False	True
Q96RL7	Homo sapiens	Metazoa	3174	False	False
Q13772	Homo sapiens	Metazoa	614	False	False
Q9BRG1	Homo sapiens	Metazoa	176	False	False
Q8TDG2	Homo sapiens	Metazoa	376	False	False
Q96FS4	Homo sapiens	Metazoa	1042	False	False
Q9ULX6	Homo sapiens	Metazoa	646	False	False
Q93062	Homo sapiens	Metazoa	196	False	False
Q9Y6M1	Homo sapiens	Metazoa	599	False	False
Q16760	Homo sapiens	Metazoa	1214	False	False
Q6UXY1	Homo sapiens	Metazoa	529	False	False
Q9P0L9	Homo sapiens	Metazoa	805	False	False
P50479	Homo sapiens	Metazoa	330	False	False
Q9BZB8	Homo sapiens	Metazoa	566	False	False
Q9NQW6	Homo sapiens	Metazoa	1124	False	False
P22626	Homo sapiens	Metazoa	353	False	False
Q02241	Homo sapiens	Metazoa	960	False	False
Q9UL54	Homo sapiens	Metazoa	1235	False	False
Q9Y3A5	Homo sapiens	Metazoa	250	False	False
O43557	Homo sapiens	Metazoa	240	False	False
P04899	Homo sapiens	Metazoa	355	False	False
Q14244	Homo sapiens	Metazoa	749	False	False
O14681	Homo sapiens	Metazoa	340	False	True
Q96JM3	Homo sapiens	Metazoa	812	False	False
Q9BVK8	Homo sapiens	Metazoa	224	False	True
Q9P2P6	Homo sapiens	Metazoa	4700	False	False
Q9Y2M5	Homo sapiens	Metazoa	609	False	False
O35864	Mus musculus	Metazoa	334	False	False
O76324	Drosophila melanogaster	Metazoa	440	False	False
P0DJI6	Mus musculus	Metazoa	106	False	False
Q09M02	Mus musculus	Metazoa	886	False	False
Q0JLP9	Oryza sativa subsp. japonica	Viridiplantae	467	False	False
Q12285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	212	False	False
Q5SVQ0	Mus musculus	Metazoa	613	False	False
Q5Z8S0	Oryza sativa subsp. japonica	Viridiplantae	207	False	False
Q64092	Mus musculus	Metazoa	572	False	False
Q6L4R7	Oryza sativa subsp. japonica	Viridiplantae	445	False	False
Q8K4H1	Mus musculus	Metazoa	305	False	False
Q8R5A0	Mus musculus	Metazoa	433	False	False
Q95TS5	Drosophila melanogaster	Metazoa	654	False	False
Q9FG13	Arabidopsis thaliana	Viridiplantae	329	False	False
Q9FN03	Arabidopsis thaliana	Viridiplantae	440	False	False
Q9LHA8	Arabidopsis thaliana	Viridiplantae	650	False	False
Q9QYS9	Mus musculus	Metazoa	341	False	False
Q9SB47	Arabidopsis thaliana	Viridiplantae	319	False	False
Q9SZU7	Arabidopsis thaliana	Viridiplantae	270	False	False
O76082	Homo sapiens	Metazoa	557	False	False
P08754	Homo sapiens	Metazoa	354	False	False
P80723	Homo sapiens	Metazoa	227	False	False
Q01959	Homo sapiens	Metazoa	620	False	False
O75923	Homo sapiens	Metazoa	2080	False	False
O43663	Homo sapiens	Metazoa	620	False	False
Q96SB8	Homo sapiens	Metazoa	1091	False	False
O75781	Homo sapiens	Metazoa	387	False	False
Q9NQC3	Homo sapiens	Metazoa	1192	False	False
Q9UK41	Homo sapiens	Metazoa	221	False	False
Q7Z4I7	Homo sapiens	Metazoa	341	False	False
P08173	Homo sapiens	Metazoa	479	False	False
P08912	Homo sapiens	Metazoa	532	False	False
Q9NPB3	Homo sapiens	Metazoa	220	False	False
Q9P0L2	Homo sapiens	Metazoa	795	False	False
Q14764	Homo sapiens	Metazoa	893	False	False
P61266	Homo sapiens	Metazoa	288	False	False
Q15038	Homo sapiens	Metazoa	168	False	False
Q6IE81	Homo sapiens	Metazoa	842	False	False
Q9BVI4	Homo sapiens	Metazoa	516	False	False
P48059	Homo sapiens	Metazoa	325	False	False
Q09470	Homo sapiens	Metazoa	495	False	False
Q5VTT2	Homo sapiens	Metazoa	229	False	False
Q969L2	Homo sapiens	Metazoa	176	False	True
Q709C8	Homo sapiens	Metazoa	3753	False	False
O43293	Homo sapiens	Metazoa	454	False	False
P42858	Homo sapiens	Metazoa	3142	False	False
P54252	Homo sapiens	Metazoa	361	False	False
Q8WWM7	Homo sapiens	Metazoa	1075	False	False
Q96EY5	Homo sapiens	Metazoa	273	False	False
Q96FI4	Homo sapiens	Metazoa	390	False	False
P31228	Bos taurus	Metazoa	341	False	False
O00757	Homo sapiens	Metazoa	339	False	False
Q9NZP6	Homo sapiens	Metazoa	1156	False	False
Q9Y6H6	Homo sapiens	Metazoa	103	False	True
O95466	Homo sapiens	Metazoa	1100	False	False
Q8WXI7	Homo sapiens	Metazoa	14507	False	False
P21964	Homo sapiens	Metazoa	271	False	False
Q969I6	Homo sapiens	Metazoa	547	False	False
Q9NYW5	Homo sapiens	Metazoa	299	False	False
P60842	Homo sapiens	Metazoa	406	False	False
O95760	Homo sapiens	Metazoa	270	False	False
Q9NXW2	Homo sapiens	Metazoa	375	False	False
O60318	Homo sapiens	Metazoa	1980	False	False
P49792	Homo sapiens	Metazoa	3224	False	False
Q99755	Homo sapiens	Metazoa	562	False	False
A8MYU2	Homo sapiens	Metazoa	1149	False	False
O43586	Homo sapiens	Metazoa	416	False	False
Q13153	Homo sapiens	Metazoa	545	False	False
P11229	Homo sapiens	Metazoa	460	False	False
Q96CP6	Homo sapiens	Metazoa	724	False	False
P00519	Homo sapiens	Metazoa	1130	False	False
Q15125	Homo sapiens	Metazoa	230	False	True
O43670	Homo sapiens	Metazoa	478	False	False
P08235	Homo sapiens	Metazoa	984	False	False
Q8N9A8	Homo sapiens	Metazoa	125	False	True
Q8TBM8	Homo sapiens	Metazoa	379	False	False
Q9P2K9	Homo sapiens	Metazoa	1392	False	True
Q9UPV0	Homo sapiens	Metazoa	1460	False	False
P60763	Homo sapiens	Metazoa	192	False	False
Q8IWU4	Homo sapiens	Metazoa	369	False	True
P50995	Homo sapiens	Metazoa	505	False	False
Q7Z7K6	Homo sapiens	Metazoa	275	False	False
Q9H2K2	Homo sapiens	Metazoa	1166	False	False
O14980	Homo sapiens	Metazoa	1071	False	False
Q7RTP6	Homo sapiens	Metazoa	2002	False	False
Q96GX5	Homo sapiens	Metazoa	879	False	False
Q9H5F2	Homo sapiens	Metazoa	150	False	False
Q9UN81	Homo sapiens	Metazoa	338	False	False
O00219	Homo sapiens	Metazoa	553	False	False
P27448	Homo sapiens	Metazoa	753	False	False
Q96B67	Homo sapiens	Metazoa	414	False	False
Q9HD42	Homo sapiens	Metazoa	196	False	False
Q49MI3	Homo sapiens	Metazoa	558	False	False
Q8NEC5	Homo sapiens	Metazoa	780	False	False
Q13061	Homo sapiens	Metazoa	729	False	True
P45844	Homo sapiens	Metazoa	678	False	False
P61073	Homo sapiens	Metazoa	352	False	False
Q63HR2	Homo sapiens	Metazoa	1409	False	False
Q9H1K0	Homo sapiens	Metazoa	784	False	False
Q15858	Homo sapiens	Metazoa	1988	False	False
P62714	Homo sapiens	Metazoa	309	False	False
Q12772	Homo sapiens	Metazoa	1141	False	False
Q9Y2G1	Homo sapiens	Metazoa	1151	False	False
Q8NFH3	Homo sapiens	Metazoa	380	False	False
Q8TC26	Homo sapiens	Metazoa	289	False	True
O43597	Homo sapiens	Metazoa	315	False	False
P55064	Homo sapiens	Metazoa	265	False	True
Q03135	Homo sapiens	Metazoa	178	False	False
Q16348	Homo sapiens	Metazoa	729	False	True
Q8NE79	Homo sapiens	Metazoa	360	False	True
Q9NV29	Homo sapiens	Metazoa	134	False	True
Q9NY99	Homo sapiens	Metazoa	539	False	False
P18848	Homo sapiens	Metazoa	351	False	False
P18850	Homo sapiens	Metazoa	670	False	False
Q13123	Homo sapiens	Metazoa	557	False	False
Q53HL2	Homo sapiens	Metazoa	280	False	False
Q92575	Homo sapiens	Metazoa	508	False	False
P62081	Homo sapiens	Metazoa	194	False	False
Q8NFH4	Homo sapiens	Metazoa	326	False	False
Q8TD16	Homo sapiens	Metazoa	824	False	False
Q8WUM0	Homo sapiens	Metazoa	1156	False	False
Q6F5E8	Homo sapiens	Metazoa	1435	False	False
Q92508	Homo sapiens	Metazoa	2521	False	False
Q9NRR3	Homo sapiens	Metazoa	84	False	False
Q9Y2Y6	Homo sapiens	Metazoa	226	False	True
F5H094	Homo sapiens	Metazoa	687	False	True
O75185	Homo sapiens	Metazoa	946	False	False
P78380	Homo sapiens	Metazoa	273	False	False
P02545	Homo sapiens	Metazoa	664	False	False
P67775	Homo sapiens	Metazoa	309	False	False
P11940	Homo sapiens	Metazoa	636	False	False
Q6ZVD7	Homo sapiens	Metazoa	989	False	False
Q08AE8	Homo sapiens	Metazoa	756	False	False
P61020	Homo sapiens	Metazoa	215	False	False
Q14451	Homo sapiens	Metazoa	532	False	False
Q9UQD0	Homo sapiens	Metazoa	1980	False	False
Q8IXM6	Homo sapiens	Metazoa	262	False	True
Q8NDZ2	Homo sapiens	Metazoa	872	False	False
Q8NG50	Homo sapiens	Metazoa	284	False	False
Q96PP9	Homo sapiens	Metazoa	640	False	False
Q9H2X6	Homo sapiens	Metazoa	1198	False	False
Q9Y2U8	Homo sapiens	Metazoa	911	False	False
F4JRB0	Arabidopsis thaliana	Viridiplantae	363	False	False
O09171	Rattus norvegicus	Metazoa	407	False	False
O49596	Arabidopsis thaliana	Viridiplantae	144	False	False
P13663	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365	False	False
P22953	Arabidopsis thaliana	Viridiplantae	651	False	False
P53119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	910	False	False
Q23238	Caenorhabditis elegans	Metazoa	893	False	False
Q38845	Arabidopsis thaliana	Viridiplantae	588	False	False
Q5SSW2	Mus musculus	Metazoa	1843	False	False
Q6R053	Arabidopsis thaliana	Viridiplantae	323	False	False
Q7TS63	Mus musculus	Metazoa	1237	False	False
Q8BFZ4	Mus musculus	Metazoa	434	False	False
Q8BMI0	Mus musculus	Metazoa	1194	False	False
Q8GW48	Arabidopsis thaliana	Viridiplantae	86	False	False
Q94BQ3	Arabidopsis thaliana	Viridiplantae	757	False	False
Q9ZNV8	Arabidopsis thaliana	Viridiplantae	156	False	False
P00432	Bos taurus	Metazoa	527	False	False
P15202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	515	False	False
P24270	Mus musculus	Metazoa	527	False	False
Q13257	Homo sapiens	Metazoa	205	False	False
Q96GD4	Homo sapiens	Metazoa	344	False	False
O23310	Arabidopsis thaliana	Viridiplantae	161	False	False
O82656	Arabidopsis thaliana	Viridiplantae	340	False	False
P22954	Arabidopsis thaliana	Viridiplantae	653	False	False
P30713	Rattus norvegicus	Metazoa	244	False	False
P40228	Arabidopsis thaliana	Viridiplantae	287	False	False
