Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
O60609	Homo sapiens	Metazoa	400	31	Null
O60844	Homo sapiens	Metazoa	167	16	Null
O75462	Homo sapiens	Metazoa	422	37	Null
O94907	Homo sapiens	Metazoa	266	31	Null
O95407	Homo sapiens	Metazoa	300	29	Null
O95715	Homo sapiens	Metazoa	111	34	Null
O95968	Homo sapiens	Metazoa	90	21	Null
P00450	Homo sapiens	Metazoa	1065	19	Null
P00736	Homo sapiens	Metazoa	705	17	Null
P00797	Homo sapiens	Metazoa	406	23	Null
P01024	Homo sapiens	Metazoa	1663	22	Null
P01137	Homo sapiens	Metazoa	390	29	Null
P01215	Homo sapiens	Metazoa	116	24	Null
P01303	Homo sapiens	Metazoa	97	28	Null
P01350	Homo sapiens	Metazoa	101	21	Null
P01562	Homo sapiens	Metazoa	189	23	Null
P01591	Homo sapiens	Metazoa	159	22	Null
P01602	Homo sapiens	Metazoa	117	22	Null
P01701	Homo sapiens	Metazoa	117	19	Null
P01704	Homo sapiens	Metazoa	120	19	Null
P01705	Homo sapiens	Metazoa	113	19	Null
P01706	Homo sapiens	Metazoa	119	19	Null
P01709	Homo sapiens	Metazoa	118	19	Null
P01721	Homo sapiens	Metazoa	117	19	Null
P01772	Homo sapiens	Metazoa	117	19	Null
P01889	Homo sapiens	Metazoa	362	24	Null
P02655	Homo sapiens	Metazoa	101	22	Null
P02675	Homo sapiens	Metazoa	491	30	Null
P02750	Homo sapiens	Metazoa	347	35	Null
P02753	Homo sapiens	Metazoa	201	18	Null
P02810	Homo sapiens	Metazoa	166	16	Null
P02814	Homo sapiens	Metazoa	79	22	Null
P03950	Homo sapiens	Metazoa	147	24	Null
P04003	Homo sapiens	Metazoa	597	48	Null
P04054	Homo sapiens	Metazoa	148	15	Null
P04278	Homo sapiens	Metazoa	402	29	Null
P05154	Homo sapiens	Metazoa	406	19	Null
P05160	Homo sapiens	Metazoa	661	20	Null
P05186	Homo sapiens	Metazoa	524	17	Null
P05546	Homo sapiens	Metazoa	499	19	Null
P06276	Homo sapiens	Metazoa	602	28	Null
P07093	Homo sapiens	Metazoa	398	19	Null
P07204	Homo sapiens	Metazoa	575	18	Null
P07288	Homo sapiens	Metazoa	261	17	Null
P07478	Homo sapiens	Metazoa	247	15	Null
P08185	Homo sapiens	Metazoa	405	22	Null
P09486	Homo sapiens	Metazoa	303	17	Null
P0DML2	Homo sapiens	Metazoa	217	26	Null
P0DN86	Homo sapiens	Metazoa	165	20	Null
P10082	Homo sapiens	Metazoa	97	28	Null
P10124	Homo sapiens	Metazoa	158	27	Null
P10147	Homo sapiens	Metazoa	92	23	Null
P11215	Homo sapiens	Metazoa	1152	16	Null
P11279	Homo sapiens	Metazoa	417	28	Null
P11717	Homo sapiens	Metazoa	2491	40	Null
P12314	Homo sapiens	Metazoa	374	15	Null
P13500	Homo sapiens	Metazoa	99	23	Null
P13501	Homo sapiens	Metazoa	91	23	Null
P13611	Homo sapiens	Metazoa	3396	20	Null
P14555	Homo sapiens	Metazoa	144	20	Null
P14625	Homo sapiens	Metazoa	803	21	Null
P15169	Homo sapiens	Metazoa	458	20	Null
P16444	Homo sapiens	Metazoa	411	16	Null
P17301	Homo sapiens	Metazoa	1181	29	Null
P17813	Homo sapiens	Metazoa	658	25	Null
P18428	Homo sapiens	Metazoa	481	25	Null
P19320	Homo sapiens	Metazoa	739	24	Null
P19883	Homo sapiens	Metazoa	344	29	Null
P20155	Homo sapiens	Metazoa	84	23	Null
P20333	Homo sapiens	Metazoa	461	22	Null
P20933	Homo sapiens	Metazoa	346	23	Null
P21246	Homo sapiens	Metazoa	168	32	Null
P21754	Homo sapiens	Metazoa	424	22	Null
P22894	Homo sapiens	Metazoa	467	20	Null
P23229	Homo sapiens	Metazoa	1130	23	Null
P25116	Homo sapiens	Metazoa	425	21	Null
P25311	Homo sapiens	Metazoa	298	20	Null
P30988	Homo sapiens	Metazoa	474	24	Null
P32004	Homo sapiens	Metazoa	1257	19	Null
P34998	Homo sapiens	Metazoa	415	23	Null
P41222	Homo sapiens	Metazoa	190	22	Null
P42830	Homo sapiens	Metazoa	114	36	Null
P49257	Homo sapiens	Metazoa	510	30	Null
P51688	Homo sapiens	Metazoa	502	20	Null
P52823	Homo sapiens	Metazoa	247	17	Null
P53634	Homo sapiens	Metazoa	463	24	Null
P55083	Homo sapiens	Metazoa	255	21	Null
P55773	Homo sapiens	Metazoa	120	21	Null
P55899	Homo sapiens	Metazoa	365	23	Null
P57087	Homo sapiens	Metazoa	298	28	Null
P81605	Homo sapiens	Metazoa	110	19	Null
Q02763	Homo sapiens	Metazoa	1124	22	Null
Q07011	Homo sapiens	Metazoa	255	23	Null
Q08380	Homo sapiens	Metazoa	585	18	Null
Q10588	Homo sapiens	Metazoa	318	32	Null
Q12841	Homo sapiens	Metazoa	308	20	Null
Q13145	Homo sapiens	Metazoa	260	20	Null
Q13231	Homo sapiens	Metazoa	466	21	Null
Q13445	Homo sapiens	Metazoa	227	23	Null
Q13651	Homo sapiens	Metazoa	578	21	Null
Q14210	Homo sapiens	Metazoa	128	20	Null
Q15768	Homo sapiens	Metazoa	340	27	Null
Q16552	Homo sapiens	Metazoa	155	23	Null
Q16663	Homo sapiens	Metazoa	113	21	Null
Q6E0U4	Homo sapiens	Metazoa	476	21	Null
Q6UW15	Homo sapiens	Metazoa	175	26	Null
Q6UX41	Homo sapiens	Metazoa	500	17	Null
Q6UXB2	Homo sapiens	Metazoa	119	21	Null
Q8N0W4	Homo sapiens	Metazoa	816	41	Null
Q8N441	Homo sapiens	Metazoa	504	24	Null
Q8N6Q3	Homo sapiens	Metazoa	437	21	Null
Q8N766	Homo sapiens	Metazoa	993	22	Null
Q8TC27	Homo sapiens	Metazoa	787	16	Null
Q8TCT8	Homo sapiens	Metazoa	520	25	Null
Q92643	Homo sapiens	Metazoa	395	27	Null
Q969H8	Homo sapiens	Metazoa	173	31	Null
Q96BY9	Homo sapiens	Metazoa	339	30	Null
Q96F46	Homo sapiens	Metazoa	866	32	Null
Q96HE7	Homo sapiens	Metazoa	468	23	Null
Q99519	Homo sapiens	Metazoa	415	47	Null
Q99538	Homo sapiens	Metazoa	433	17	Null
Q9BX59	Homo sapiens	Metazoa	468	18	Null
Q9BX67	Homo sapiens	Metazoa	310	31	Null
Q9BXJ0	Homo sapiens	Metazoa	243	15	Null
Q9BXJ7	Homo sapiens	Metazoa	453	19	Null
Q9BZR6	Homo sapiens	Metazoa	473	26	Null
Q9H6E4	Homo sapiens	Metazoa	229	22	Null
Q9HBE5	Homo sapiens	Metazoa	538	19	Null
Q9NPA0	Homo sapiens	Metazoa	242	23	Null
Q9NQ34	Homo sapiens	Metazoa	198	33	Null
Q9UHD0	Homo sapiens	Metazoa	177	24	Null
Q9UHF4	Homo sapiens	Metazoa	553	29	Null
Q9UIK5	Homo sapiens	Metazoa	374	40	Null
Q9UKZ9	Homo sapiens	Metazoa	415	23	Null
Q9Y251	Homo sapiens	Metazoa	543	35	Null
Q9Y258	Homo sapiens	Metazoa	94	23	Null
Q9Y279	Homo sapiens	Metazoa	399	19	Null
A2AJB7	Mus musculus	Metazoa	192	26	Null
F1N5C8	Bos taurus	Metazoa	445	22	Null
O35314	Rattus norvegicus	Metazoa	675	20	Null
O35744	Mus musculus	Metazoa	398	21	Null
P00684	Rattus norvegicus	Metazoa	152	25	Null
P00760	Bos taurus	Metazoa	246	17	Null
P00794	Bos taurus	Metazoa	381	16	Null
P01001	Bos taurus	Metazoa	80	23	Null
P01131	Bos taurus	Metazoa	845	21	Null
P01246	Bos taurus	Metazoa	217	26	Null
P01326	Mus musculus	Metazoa	110	24	Null
P01899	Mus musculus	Metazoa	362	24	Null
P02702	Bos taurus	Metazoa	241	19	Null
P02769	Bos taurus	Metazoa	607	18	Null
P05623	Drosophila melanogaster	Metazoa	55	19	Null
P07267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405	22	Null
P08721	Rattus norvegicus	Metazoa	317	16	Null
P08905	Mus musculus	Metazoa	148	18	Null
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25	Null
P0CZ17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25	Null
P10354	Rattus norvegicus	Metazoa	466	18	Null
P10493	Mus musculus	Metazoa	1245	28	Null
P10820	Mus musculus	Metazoa	554	20	Null
P11598	Rattus norvegicus	Metazoa	505	24	Null
P12024	Drosophila melanogaster	Metazoa	1315	29	Null
P12820	Bos taurus	Metazoa	1306	28	Null
P12843	Rattus norvegicus	Metazoa	304	34	Null
P14630	Rattus norvegicus	Metazoa	190	17	Null
P15473	Rattus norvegicus	Metazoa	292	27	Null
P15691	Bos taurus	Metazoa	190	26	Null
P15693	Rattus norvegicus	Metazoa	540	20	Null
P16303	Rattus norvegicus	Metazoa	565	18	Null
P16368	Bos taurus	Metazoa	220	26	Null
P16612	Rattus norvegicus	Metazoa	214	26	Null
P16636	Rattus norvegicus	Metazoa	411	21	Null
P17046	Rattus norvegicus	Metazoa	411	26	Null
P19633	Rattus norvegicus	Metazoa	406	34	Null
P21581	Rattus norvegicus	Metazoa	273	25	Null
P21956	Mus musculus	Metazoa	463	22	Null
P22063	Rattus norvegicus	Metazoa	1040	30	Null
P26011	Mus musculus	Metazoa	806	19	Null
P27657	Rattus norvegicus	Metazoa	465	16	Null
P30919	Rattus norvegicus	Metazoa	345	23	Null
P30922	Bos taurus	Metazoa	383	21	Null
P31096	Bos taurus	Metazoa	278	16	Null
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18	Null
P33436	Rattus norvegicus	Metazoa	662	29	Null
P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	22	Null
P42264	Rattus norvegicus	Metazoa	919	31	Null
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20	Null
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22	Null
P49182	Mus musculus	Metazoa	478	23	Null
P52013	Caenorhabditis elegans	Metazoa	204	22	Null
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24	Null
P61823	Bos taurus	Metazoa	150	26	Null
P61855	Drosophila melanogaster	Metazoa	79	22	Null
P63090	Rattus norvegicus	Metazoa	168	32	Null
P80311	Bos taurus	Metazoa	216	33	Null
P97430	Mus musculus	Metazoa	131	25	Null
P97884	Rattus norvegicus	Metazoa	96	26	Null
Q00954	Rattus norvegicus	Metazoa	218	18	Null
Q01965	Mus musculus	Metazoa	654	47	Null
Q03180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	325	18	Null
Q06703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	312	44	Null
Q08481	Mus musculus	Metazoa	727	17	Null
Q10746	Rattus norvegicus	Metazoa	101	32	Null
Q28173	Bos taurus	Metazoa	416	22	Null
Q5I0E7	Rattus norvegicus	Metazoa	235	37	Null
Q61247	Mus musculus	Metazoa	491	27	Null
Q61885	Mus musculus	Metazoa	246	28	Null
Q62005	Mus musculus	Metazoa	623	20	Null
Q62192	Mus musculus	Metazoa	661	20	Null
Q62894	Rattus norvegicus	Metazoa	562	19	Null
Q64385	Mus musculus	Metazoa	432	23	Null
Q7KRU8	Drosophila melanogaster	Metazoa	205	19	Null
Q7TQN3	Mus musculus	Metazoa	571	29	Null
Q8BHP7	Mus musculus	Metazoa	681	32	Null
Q8BK48	Mus musculus	Metazoa	559	26	Null
Q8BPM6	Mus musculus	Metazoa	367	31	Null
Q8BSU2	Mus musculus	Metazoa	246	26	Null
Q8RUW5	Arabidopsis thaliana	Viridiplantae	433	19	Null
Q8SXL2	Drosophila melanogaster	Metazoa	136	24	Null
Q8T1G4	Dictyostelium discoideum	Amoebozoa	181	19	Null
Q91XZ4	Mus musculus	Metazoa	772	28	Null
Q94K85	Arabidopsis thaliana	Viridiplantae	359	26	Null
Q96318	Arabidopsis thaliana	Viridiplantae	524	23	Null
Q99372	Rattus norvegicus	Metazoa	870	27	Null
Q9C9G4	Arabidopsis thaliana	Viridiplantae	290	27	Null
Q9D6Y1	Mus musculus	Metazoa	273	21	Null
Q9EQX0	Mus musculus	Metazoa	117	23	Null
Q9ES58	Rattus norvegicus	Metazoa	327	23	Null
Q9GL30	Bos taurus	Metazoa	545	35	Null
Q9JMI7	Mus musculus	Metazoa	250	25	Null
Q9QXX3	Mus musculus	Metazoa	151	17	Null
Q9SR37	Arabidopsis thaliana	Viridiplantae	524	24	Null
O09165	Mus musculus	Metazoa	405	34	Null
O54766	Rattus norvegicus	Metazoa	617	20	Null
O54767	Rattus norvegicus	Metazoa	695	24	Null
O55038	Mus musculus	Metazoa	109	21	Null
O70165	Mus musculus	Metazoa	334	17	Null
O89093	Mus musculus	Metazoa	97	27	Null
P00593	Bos taurus	Metazoa	145	15	Null
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17	Null
P00730	Bos taurus	Metazoa	419	16	Null
P00757	Mus musculus	Metazoa	256	17	Null
P01015	Rattus norvegicus	Metazoa	477	24	Null
P01027	Mus musculus	Metazoa	1663	24	Null
P01175	Bos taurus	Metazoa	125	19	Null
P01223	Bos taurus	Metazoa	138	20	Null
P01237	Rattus norvegicus	Metazoa	226	29	Null
P01268	Bos taurus	Metazoa	115	25	Null
P01325	Mus musculus	Metazoa	108	24	Null
P01902	Mus musculus	Metazoa	368	21	Null
P02662	Bos taurus	Metazoa	214	15	Null
P02754	Bos taurus	Metazoa	178	16	Null
P02761	Rattus norvegicus	Metazoa	181	19	Null
P02817	Bos taurus	Metazoa	213	16	Null
P04421	Bos taurus	Metazoa	147	18	Null
P04634	Rattus norvegicus	Metazoa	395	18	Null
P04925	Mus musculus	Metazoa	254	22	Null
P04937	Rattus norvegicus	Metazoa	2477	24	Null
P05307	Bos taurus	Metazoa	510	20	Null
P05371	Rattus norvegicus	Metazoa	447	21	Null
P05545	Rattus norvegicus	Metazoa	416	20	Null
P06868	Bos taurus	Metazoa	812	26	Null
P07507	Bos taurus	Metazoa	103	19	Null
P07897	Rattus norvegicus	Metazoa	2124	19	Null
P08289	Rattus norvegicus	Metazoa	524	17	Null
P08505	Mus musculus	Metazoa	211	24	Null
P09056	Mus musculus	Metazoa	203	23	Null
P10152	Bos taurus	Metazoa	148	23	Null
P10889	Mus musculus	Metazoa	100	27	Null
P12729	Dictyostelium discoideum	Amoebozoa	168	19	Null
P12763	Bos taurus	Metazoa	359	18	Null
P12961	Mus musculus	Metazoa	212	26	Null
P13205	Rattus norvegicus	Metazoa	121	26	Null
P14095	Rattus norvegicus	Metazoa	96	24	Null
P14211	Mus musculus	Metazoa	416	17	Null
P14562	Rattus norvegicus	Metazoa	407	21	Null
P15497	Bos taurus	Metazoa	265	18	Null
P16382	Mus musculus	Metazoa	810	25	Null
P16882	Mus musculus	Metazoa	650	24	Null
P17164	Rattus norvegicus	Metazoa	462	28	Null
P17475	Rattus norvegicus	Metazoa	411	24	Null
P17697	Bos taurus	Metazoa	439	19	Null
P18181	Mus musculus	Metazoa	240	22	Null
P18418	Rattus norvegicus	Metazoa	416	17	Null
P20241	Drosophila melanogaster	Metazoa	1302	23	Null
P20334	Mus musculus	Metazoa	256	23	Null
P20826	Mus musculus	Metazoa	273	25	Null
P20959	Bos taurus	Metazoa	291	27	Null
P21588	Rattus norvegicus	Metazoa	576	28	Null
P21744	Rattus norvegicus	Metazoa	254	21	Null
P22057	Rattus norvegicus	Metazoa	189	24	Null
P24090	Rattus norvegicus	Metazoa	352	18	Null
P24627	Bos taurus	Metazoa	708	19	Null
P32803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	20	Null
P35248	Rattus norvegicus	Metazoa	374	19	Null
P35441	Mus musculus	Metazoa	1170	18	Null
P36368	Mus musculus	Metazoa	261	16	Null
P41361	Bos taurus	Metazoa	465	32	Null
P45478	Bos taurus	Metazoa	306	27	Null
P54837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211	20	Null
P80067	Rattus norvegicus	Metazoa	462	24	Null
P80109	Bos taurus	Metazoa	839	23	Null
P80747	Bos taurus	Metazoa	800	24	Null
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22	Null
Q08879	Mus musculus	Metazoa	705	29	Null
Q09332	Drosophila melanogaster	Metazoa	1548	22	Null
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	18	Null
Q28143	Bos taurus	Metazoa	456	35	Null
Q60675	Mus musculus	Metazoa	3118	19	Null
Q60736	Mus musculus	Metazoa	579	32	Null
Q61001	Mus musculus	Metazoa	3718	40	Null
Q61508	Mus musculus	Metazoa	559	19	Null
Q61738	Mus musculus	Metazoa	1179	33	Null
Q63617	Rattus norvegicus	Metazoa	999	32	Null
Q64277	Mus musculus	Metazoa	311	24	Null
Q7TMF5	Mus musculus	Metazoa	413	20	Null
Q8C1Q4	Mus musculus	Metazoa	291	21	Null
Q968Z6	Dictyostelium discoideum	Amoebozoa	557	19	Null
Q9LVC0	Arabidopsis thaliana	Viridiplantae	60	28	Null
Q9LXD6	Arabidopsis thaliana	Viridiplantae	773	23	Null
Q9SLY8	Oryza sativa subsp. japonica	Viridiplantae	424	29	Null
Q9SU40	Arabidopsis thaliana	Viridiplantae	587	20	Null
Q9VB68	Drosophila melanogaster	Metazoa	377	26	Null
O08523	Mus musculus	Metazoa	2155	24	Null
O08795	Mus musculus	Metazoa	521	14	Null
O35310	Mus musculus	Metazoa	311	20	Null
O77801	Bos taurus	Metazoa	132	21	Null
O88917	Rattus norvegicus	Metazoa	1515	24	Null
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19	Null
P01139	Mus musculus	Metazoa	241	18	Null
P01161	Rattus norvegicus	Metazoa	152	24	Null
P01239	Bos taurus	Metazoa	229	30	Null
P01323	Rattus norvegicus	Metazoa	110	24	Null
P01887	Mus musculus	Metazoa	119	20	Null
P01900	Mus musculus	Metazoa	365	24	Null
P02466	Rattus norvegicus	Metazoa	1372	22	Null
P02663	Bos taurus	Metazoa	222	15	Null
P02672	Bos taurus	Metazoa	615	19	Null
P02770	Rattus norvegicus	Metazoa	608	18	Null
P04276	Rattus norvegicus	Metazoa	476	16	Null
P04916	Rattus norvegicus	Metazoa	201	18	Null
P05059	Bos taurus	Metazoa	449	18	Null
P05533	Mus musculus	Metazoa	134	26	Null
P05555	Mus musculus	Metazoa	1153	16	Null
P06332	Mus musculus	Metazoa	457	26	Null
P07154	Rattus norvegicus	Metazoa	334	17	Null
P07727	Rattus norvegicus	Metazoa	457	28	Null
P07759	Mus musculus	Metazoa	418	21	Null
P09487	Bos taurus	Metazoa	524	17	Null
P0CX79	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25	Null
P10855	Mus musculus	Metazoa	92	23	Null
P11590	Mus musculus	Metazoa	178	16	Null
P12799	Bos taurus	Metazoa	444	24	Null
P13432	Rattus norvegicus	Metazoa	146	22	Null
P13599	Rattus norvegicus	Metazoa	366	22	Null
P14423	Rattus norvegicus	Metazoa	146	21	Null
P19137	Mus musculus	Metazoa	3083	24	Null
P19427	Bos taurus	Metazoa	201	18	Null
P21782	Bos taurus	Metazoa	168	32	Null
P23389	Bos taurus	Metazoa	646	20	Null
P23805	Bos taurus	Metazoa	371	20	Null
P25236	Rattus norvegicus	Metazoa	385	19	Null
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19	Null
P28053	Bos taurus	Metazoa	469	18	Null
P28798	Mus musculus	Metazoa	589	17	Null
P29029	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	562	20	Null
P29788	Mus musculus	Metazoa	478	19	Null
P30120	Rattus norvegicus	Metazoa	217	23	Null
P31722	Rattus norvegicus	Metazoa	245	28	Null
P32472	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	17	Null
P35355	Rattus norvegicus	Metazoa	604	17	Null
P37889	Mus musculus	Metazoa	1221	26	Null
P38574	Bos taurus	Metazoa	287	18	Null
P43555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	445	28	Null
P47178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298	19	Null
P48765	Bos taurus	Metazoa	970	32	Null
P50229	Rattus norvegicus	Metazoa	92	23	Null
P51868	Rattus norvegicus	Metazoa	413	19	Null
P52193	Bos taurus	Metazoa	417	17	Null
P54660	Dictyostelium discoideum	Amoebozoa	143	22	Null
P54900	Rattus norvegicus	Metazoa	215	29	Null
P80221	Bos taurus	Metazoa	112	36	Null
Q01129	Rattus norvegicus	Metazoa	354	16	Null
Q05927	Bos taurus	Metazoa	574	26	Null
Q05928	Mus musculus	Metazoa	177	31	Null
Q07310	Rattus norvegicus	Metazoa	1578	27	Null
Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	46	Null
Q556R7	Dictyostelium discoideum	Amoebozoa	303	24	Null
Q60994	Mus musculus	Metazoa	247	17	Null
Q61789	Mus musculus	Metazoa	3330	31	Null
Q62718	Rattus norvegicus	Metazoa	344	32	Null
Q63041	Rattus norvegicus	Metazoa	1500	24	Null
Q6IUU3	Rattus norvegicus	Metazoa	750	32	Null
Q6QD51	Rattus norvegicus	Metazoa	949	27	Null
Q71DJ5	Arabidopsis thaliana	Viridiplantae	393	20	Null
Q8BHN3	Mus musculus	Metazoa	944	32	Null
Q8H8C7	Oryza sativa subsp. japonica	Viridiplantae	356	28	Null
Q8MLZ7	Drosophila melanogaster	Metazoa	441	23	Null
Q8MM24	Drosophila melanogaster	Metazoa	439	20	Null
Q8VCS0	Mus musculus	Metazoa	530	22	Null
Q8VCT4	Mus musculus	Metazoa	565	18	Null
Q9ERQ6	Rattus norvegicus	Metazoa	571	30	Null
Q9FXT4	Oryza sativa subsp. japonica	Viridiplantae	417	55	Null
Q9N2I2	Bos taurus	Metazoa	404	19	Null
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17	Null
Q9NAX4	Dictyostelium discoideum	Amoebozoa	464	17	Null
Q9R1T7	Rattus norvegicus	Metazoa	200	20	Null
Q9S7Y7	Arabidopsis thaliana	Viridiplantae	915	27	Null
Q9TTE1	Bos taurus	Metazoa	411	24	Null
Q9VYX7	Drosophila melanogaster	Metazoa	203	26	Null
Q9Z0J8	Rattus norvegicus	Metazoa	348	31	Null
Q9Z0K8	Mus musculus	Metazoa	512	23	Null
B8JLQ9	Danio rerio	Metazoa	363	24	Null
G5ED35	Caenorhabditis elegans	Metazoa	135	20	Null
O02853	Bos taurus	Metazoa	191	28	Null
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22	Null
O35701	Mus musculus	Metazoa	481	27	Null
O54861	Rattus norvegicus	Metazoa	825	31	Null
O88188	Mus musculus	Metazoa	162	19	Null
P00639	Bos taurus	Metazoa	282	22	Null
P00669	Bos taurus	Metazoa	150	26	Null
P00687	Mus musculus	Metazoa	511	15	Null
P00697	Rattus norvegicus	Metazoa	148	18	Null
P00711	Bos taurus	Metazoa	142	19	Null
P00714	Rattus norvegicus	Metazoa	159	19	Null
P01045	Bos taurus	Metazoa	619	18	Null
P01179	Rattus norvegicus	Metazoa	125	19	Null
P01322	Rattus norvegicus	Metazoa	110	24	Null
P01346	Rattus norvegicus	Metazoa	180	24	Null
P01347	Rattus norvegicus	Metazoa	186	22	Null
P01572	Mus musculus	Metazoa	189	23	Null
P02666	Bos taurus	Metazoa	224	15	Null
P02668	Bos taurus	Metazoa	190	21	Null
P02767	Rattus norvegicus	Metazoa	147	20	Null
P02784	Bos taurus	Metazoa	134	25	Null
P06399	Rattus norvegicus	Metazoa	782	19	Null
P06797	Mus musculus	Metazoa	334	17	Null
P07141	Mus musculus	Metazoa	552	32	Null
P08796	Dictyostelium discoideum	Amoebozoa	514	19	Null
P09470	Mus musculus	Metazoa	1312	34	Null
P0CX78	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25	Null
P10279	Bos taurus	Metazoa	264	24	Null
P10522	Bos taurus	Metazoa	248	28	Null
P10758	Rattus norvegicus	Metazoa	165	21	Null
P12346	Rattus norvegicus	Metazoa	698	19	Null
P13504	Mus musculus	Metazoa	576	19	Null
P13595	Mus musculus	Metazoa	1115	19	Null
P14925	Rattus norvegicus	Metazoa	976	25	Null
P15703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	313	23	Null
P16235	Rattus norvegicus	Metazoa	700	26	Null
P16975	Rattus norvegicus	Metazoa	301	17	Null
P18761	Mus musculus	Metazoa	317	17	Null
P19313	Rattus norvegicus	Metazoa	141	27	Null
P19324	Mus musculus	Metazoa	417	17	Null
P19999	Rattus norvegicus	Metazoa	238	17	Null
P20029	Mus musculus	Metazoa	655	19	Null
P20068	Rattus norvegicus	Metazoa	169	22	Null
P20239	Mus musculus	Metazoa	713	34	Null
P21570	Mus musculus	Metazoa	145	24	Null
P22146	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	559	22	Null
P25031	Rattus norvegicus	Metazoa	175	26	Null
P27274	Rattus norvegicus	Metazoa	126	22	Null
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20	Null
P28665	Mus musculus	Metazoa	1476	27	Null
P28800	Bos taurus	Metazoa	492	22	Null
P28825	Mus musculus	Metazoa	747	20	Null
P29457	Rattus norvegicus	Metazoa	417	17	Null
P30121	Rattus norvegicus	Metazoa	220	26	Null
P30348	Rattus norvegicus	Metazoa	100	31	Null
P31720	Rattus norvegicus	Metazoa	245	22	Null
P32802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	667	22	Null
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	20	Null
P34115	Dictyostelium discoideum	Amoebozoa	730	20	Null
P34116	Dictyostelium discoideum	Amoebozoa	734	20	Null
P35053	Rattus norvegicus	Metazoa	558	23	Null
P36511	Rattus norvegicus	Metazoa	530	23	Null
P39039	Mus musculus	Metazoa	239	18	Null
P47001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	227	21	Null
P54318	Rattus norvegicus	Metazoa	468	16	Null
P56722	Bos taurus	Metazoa	979	34	Null
Q02596	Mus musculus	Metazoa	151	19	Null
Q05895	Mus musculus	Metazoa	956	21	Null
Q26377	Drosophila melanogaster	Metazoa	154	19	Null
Q3V1G4	Mus musculus	Metazoa	746	20	Null
Q5XM24	Dictyostelium discoideum	Amoebozoa	494	18	Null
Q61450	Mus musculus	Metazoa	303	23	Null
Q62813	Rattus norvegicus	Metazoa	338	28	Null
Q62867	Rattus norvegicus	Metazoa	317	24	Null
Q63180	Rattus norvegicus	Metazoa	789	25	Null
Q63373	Rattus norvegicus	Metazoa	468	46	Null
Q63376	Rattus norvegicus	Metazoa	662	46	Null
Q64610	Rattus norvegicus	Metazoa	887	27	Null
Q868Z9	Drosophila melanogaster	Metazoa	2898	26	Null
Q8WMP9	Bos taurus	Metazoa	407	29	Null
Q91XZ2	Mus musculus	Metazoa	779	28	Null
Q924B5	Rattus norvegicus	Metazoa	250	25	Null
Q99ML8	Mus musculus	Metazoa	113	23	Null
Q9JLA3	Rattus norvegicus	Metazoa	1551	42	Null
Q9QYH7	Rattus norvegicus	Metazoa	117	23	Null
Q9Z1K9	Rattus norvegicus	Metazoa	827	17	Null
A5HAK0	Danio rerio	Metazoa	149	22	Null
O09049	Mus musculus	Metazoa	174	26	Null
O55232	Rattus norvegicus	Metazoa	130	32	Null
P00688	Mus musculus	Metazoa	508	15	Null
