Accession	Organism	Kingdom	Sequence length	SP cleavage
P01721	117	1	19	Homo sapiens	Metazoa
P01772	117	1	19	Homo sapiens	Metazoa
P01889	362	1	24	Homo sapiens	Metazoa
P02655	101	1	22	Homo sapiens	Metazoa
P02675	491	1	30	Homo sapiens	Metazoa
P02750	347	1	35	Homo sapiens	Metazoa
P02753	201	1	18	Homo sapiens	Metazoa
P02810	166	1	16	Homo sapiens	Metazoa
P02814	79	1	22	Homo sapiens	Metazoa
P03950	147	1	24	Homo sapiens	Metazoa
P04003	597	1	48	Homo sapiens	Metazoa
P04054	148	1	15	Homo sapiens	Metazoa
P04278	402	1	29	Homo sapiens	Metazoa
P05154	406	1	19	Homo sapiens	Metazoa
P05160	661	1	20	Homo sapiens	Metazoa
P05186	524	1	17	Homo sapiens	Metazoa
P05546	499	1	19	Homo sapiens	Metazoa
P06276	602	1	28	Homo sapiens	Metazoa
P07093	398	1	19	Homo sapiens	Metazoa
P07204	575	1	18	Homo sapiens	Metazoa
P07288	261	1	17	Homo sapiens	Metazoa
P07478	247	1	15	Homo sapiens	Metazoa
P08185	405	1	22	Homo sapiens	Metazoa
P09486	303	1	17	Homo sapiens	Metazoa
P0DML2	217	1	26	Homo sapiens	Metazoa
P0DN86	165	1	20	Homo sapiens	Metazoa
P10082	97	1	28	Homo sapiens	Metazoa
P10124	158	1	27	Homo sapiens	Metazoa
P10147	92	1	23	Homo sapiens	Metazoa
P11215	1152	1	16	Homo sapiens	Metazoa
P11279	417	1	28	Homo sapiens	Metazoa
P11717	2491	1	40	Homo sapiens	Metazoa
P12314	374	1	15	Homo sapiens	Metazoa
P13500	99	1	23	Homo sapiens	Metazoa
P13501	91	1	23	Homo sapiens	Metazoa
P13611	3396	1	20	Homo sapiens	Metazoa
P14555	144	1	20	Homo sapiens	Metazoa
P14625	803	1	21	Homo sapiens	Metazoa
P15169	458	1	20	Homo sapiens	Metazoa
P16444	411	1	16	Homo sapiens	Metazoa
P17301	1181	1	29	Homo sapiens	Metazoa
P17813	658	1	25	Homo sapiens	Metazoa
P18428	481	1	25	Homo sapiens	Metazoa
P19320	739	1	24	Homo sapiens	Metazoa
P19883	344	1	29	Homo sapiens	Metazoa
P20155	84	1	23	Homo sapiens	Metazoa
P20333	461	1	22	Homo sapiens	Metazoa
P20933	346	1	23	Homo sapiens	Metazoa
P21246	168	1	32	Homo sapiens	Metazoa
P21754	424	1	22	Homo sapiens	Metazoa
P22894	467	1	20	Homo sapiens	Metazoa
P23229	1130	1	23	Homo sapiens	Metazoa
P25116	425	1	21	Homo sapiens	Metazoa
P25311	298	1	20	Homo sapiens	Metazoa
P30988	474	1	24	Homo sapiens	Metazoa
P32004	1257	1	19	Homo sapiens	Metazoa
P34998	415	1	23	Homo sapiens	Metazoa
P41222	190	1	22	Homo sapiens	Metazoa
P42830	114	1	36	Homo sapiens	Metazoa
P49257	510	1	30	Homo sapiens	Metazoa
P51688	502	1	20	Homo sapiens	Metazoa
P52823	247	1	17	Homo sapiens	Metazoa
P53634	463	1	24	Homo sapiens	Metazoa
P55083	255	1	21	Homo sapiens	Metazoa
P55773	120	1	21	Homo sapiens	Metazoa
P55899	365	1	23	Homo sapiens	Metazoa
P57087	298	1	28	Homo sapiens	Metazoa
P81605	110	1	19	Homo sapiens	Metazoa
Q02763	1124	1	22	Homo sapiens	Metazoa
Q07011	255	1	23	Homo sapiens	Metazoa
Q08380	585	1	18	Homo sapiens	Metazoa
Q10588	318	1	32	Homo sapiens	Metazoa
Q12841	308	1	20	Homo sapiens	Metazoa
Q13145	260	1	20	Homo sapiens	Metazoa
Q13231	466	1	21	Homo sapiens	Metazoa
Q13445	227	1	23	Homo sapiens	Metazoa
Q13651	578	1	21	Homo sapiens	Metazoa
Q14210	128	1	20	Homo sapiens	Metazoa
Q15768	340	1	27	Homo sapiens	Metazoa
Q16552	155	1	23	Homo sapiens	Metazoa
Q16663	113	1	21	Homo sapiens	Metazoa
Q6E0U4	476	1	21	Homo sapiens	Metazoa
Q6UW15	175	1	26	Homo sapiens	Metazoa
Q6UX41	500	1	17	Homo sapiens	Metazoa
Q6UXB2	119	1	21	Homo sapiens	Metazoa
Q8N0W4	816	1	41	Homo sapiens	Metazoa
Q8N441	504	1	24	Homo sapiens	Metazoa
Q8N6Q3	437	1	21	Homo sapiens	Metazoa
Q8N766	993	1	22	Homo sapiens	Metazoa
Q8TC27	787	1	16	Homo sapiens	Metazoa
Q8TCT8	520	1	25	Homo sapiens	Metazoa
Q92643	395	1	27	Homo sapiens	Metazoa
Q969H8	173	1	31	Homo sapiens	Metazoa
Q96BY9	339	1	30	Homo sapiens	Metazoa
Q96F46	866	1	32	Homo sapiens	Metazoa
Q96HE7	468	1	23	Homo sapiens	Metazoa
Q99519	415	1	47	Homo sapiens	Metazoa
Q99538	433	1	17	Homo sapiens	Metazoa
Q9BX59	468	1	18	Homo sapiens	Metazoa
Q9BX67	310	1	31	Homo sapiens	Metazoa
Q9BXJ0	243	1	15	Homo sapiens	Metazoa
Q9BXJ7	453	1	19	Homo sapiens	Metazoa
Q9BZR6	473	1	26	Homo sapiens	Metazoa
Q9H6E4	229	1	22	Homo sapiens	Metazoa
Q9HBE5	538	1	19	Homo sapiens	Metazoa
Q9NPA0	242	1	23	Homo sapiens	Metazoa
Q9NQ34	198	1	33	Homo sapiens	Metazoa
Q9UHD0	177	1	24	Homo sapiens	Metazoa
Q9UHF4	553	1	29	Homo sapiens	Metazoa
Q9UIK5	374	1	40	Homo sapiens	Metazoa
Q9UKZ9	415	1	23	Homo sapiens	Metazoa
Q9Y251	543	1	35	Homo sapiens	Metazoa
Q9Y258	94	1	23	Homo sapiens	Metazoa
Q9Y279	399	1	19	Homo sapiens	Metazoa
A2AJB7	192	1	26	Mus musculus	Metazoa
F1N5C8	445	1	22	Bos taurus	Metazoa
O35314	675	1	20	Rattus norvegicus	Metazoa
O35744	398	1	21	Mus musculus	Metazoa
P00684	152	1	25	Rattus norvegicus	Metazoa
P00760	246	1	17	Bos taurus	Metazoa
P00794	381	1	16	Bos taurus	Metazoa
P01001	80	1	23	Bos taurus	Metazoa
P01131	845	1	21	Bos taurus	Metazoa
P01246	217	1	26	Bos taurus	Metazoa
P01326	110	1	24	Mus musculus	Metazoa
P01899	362	1	24	Mus musculus	Metazoa
P02702	241	1	19	Bos taurus	Metazoa
P02769	607	1	18	Bos taurus	Metazoa
P05623	55	1	19	Drosophila melanogaster	Metazoa
P07267	405	1	22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P08721	317	1	16	Rattus norvegicus	Metazoa
P08905	148	1	18	Mus musculus	Metazoa
P0CX77	362	1	25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P0CZ17	362	1	25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P10354	466	1	18	Rattus norvegicus	Metazoa
P10493	1245	1	28	Mus musculus	Metazoa
P10820	554	1	20	Mus musculus	Metazoa
P11598	505	1	24	Rattus norvegicus	Metazoa
P12024	1315	1	29	Drosophila melanogaster	Metazoa
P12820	1306	1	28	Bos taurus	Metazoa
P12843	304	1	34	Rattus norvegicus	Metazoa
P14630	190	1	17	Rattus norvegicus	Metazoa
P15473	292	1	27	Rattus norvegicus	Metazoa
P15691	190	1	26	Bos taurus	Metazoa
P15693	540	1	20	Rattus norvegicus	Metazoa
P16303	565	1	18	Rattus norvegicus	Metazoa
P16368	220	1	26	Bos taurus	Metazoa
P16612	214	1	26	Rattus norvegicus	Metazoa
P16636	411	1	21	Rattus norvegicus	Metazoa
P17046	411	1	26	Rattus norvegicus	Metazoa
P19633	406	1	34	Rattus norvegicus	Metazoa
P21581	273	1	25	Rattus norvegicus	Metazoa
P21956	463	1	22	Mus musculus	Metazoa
P22063	1040	1	30	Rattus norvegicus	Metazoa
P26011	806	1	19	Mus musculus	Metazoa
P27657	465	1	16	Rattus norvegicus	Metazoa
P30919	345	1	23	Rattus norvegicus	Metazoa
P30922	383	1	21	Bos taurus	Metazoa
P31096	278	1	16	Bos taurus	Metazoa
P32478	413	1	18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P33436	662	1	29	Rattus norvegicus	Metazoa
P41543	476	1	22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P42264	919	1	31	Rattus norvegicus	Metazoa
P43497	92	1	20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P48439	350	1	22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P49182	478	1	23	Mus musculus	Metazoa
P52013	204	1	22	Caenorhabditis elegans	Metazoa
P53616	420	1	24	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P61823	150	1	26	Bos taurus	Metazoa
P61855	79	1	22	Drosophila melanogaster	Metazoa
P63090	168	1	32	Rattus norvegicus	Metazoa
P80311	216	1	33	Bos taurus	Metazoa
P97430	131	1	25	Mus musculus	Metazoa
P97884	96	1	26	Rattus norvegicus	Metazoa
Q00954	218	1	18	Rattus norvegicus	Metazoa
Q01965	654	1	47	Mus musculus	Metazoa
Q03180	325	1	18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
Q06703	312	1	44	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
Q08481	727	1	17	Mus musculus	Metazoa
Q10746	101	1	32	Rattus norvegicus	Metazoa
Q28173	416	1	22	Bos taurus	Metazoa
Q5I0E7	235	1	37	Rattus norvegicus	Metazoa
Q61247	491	1	27	Mus musculus	Metazoa
Q61885	246	1	28	Mus musculus	Metazoa
Q62005	623	1	20	Mus musculus	Metazoa
Q62192	661	1	20	Mus musculus	Metazoa
Q62894	562	1	19	Rattus norvegicus	Metazoa
Q64385	432	1	23	Mus musculus	Metazoa
Q7KRU8	205	1	19	Drosophila melanogaster	Metazoa
Q7TQN3	571	1	29	Mus musculus	Metazoa
Q8BHP7	681	1	32	Mus musculus	Metazoa
Q8BK48	559	1	26	Mus musculus	Metazoa
Q8BPM6	367	1	31	Mus musculus	Metazoa
Q8BSU2	246	1	26	Mus musculus	Metazoa
Q8RUW5	433	1	19	Arabidopsis thaliana	Viridiplantae
Q8SXL2	136	1	24	Drosophila melanogaster	Metazoa
Q8T1G4	181	1	19	Dictyostelium discoideum	Amoebozoa
Q91XZ4	772	1	28	Mus musculus	Metazoa
Q94K85	359	1	26	Arabidopsis thaliana	Viridiplantae
Q96318	524	1	23	Arabidopsis thaliana	Viridiplantae
Q99372	870	1	27	Rattus norvegicus	Metazoa
Q9C9G4	290	1	27	Arabidopsis thaliana	Viridiplantae
Q9D6Y1	273	1	21	Mus musculus	Metazoa
Q9EQX0	117	1	23	Mus musculus	Metazoa
Q9ES58	327	1	23	Rattus norvegicus	Metazoa
Q9GL30	545	1	35	Bos taurus	Metazoa
Q9JMI7	250	1	25	Mus musculus	Metazoa
Q9QXX3	151	1	17	Mus musculus	Metazoa
Q9SR37	524	1	24	Arabidopsis thaliana	Viridiplantae
O09165	405	1	34	Mus musculus	Metazoa
O54766	617	1	20	Rattus norvegicus	Metazoa
O54767	695	1	24	Rattus norvegicus	Metazoa
O55038	109	1	21	Mus musculus	Metazoa
O70165	334	1	17	Mus musculus	Metazoa
O89093	97	1	27	Mus musculus	Metazoa
P00593	145	1	15	Bos taurus	Metazoa
P00635	467	1	17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P00730	419	1	16	Bos taurus	Metazoa
P00757	256	1	17	Mus musculus	Metazoa
P01015	477	1	24	Rattus norvegicus	Metazoa
P01027	1663	1	24	Mus musculus	Metazoa
P01175	125	1	19	Bos taurus	Metazoa
P01223	138	1	20	Bos taurus	Metazoa
P01237	226	1	29	Rattus norvegicus	Metazoa
P01268	115	1	25	Bos taurus	Metazoa
P01325	108	1	24	Mus musculus	Metazoa
P01902	368	1	21	Mus musculus	Metazoa
P02662	214	1	15	Bos taurus	Metazoa
P02754	178	1	16	Bos taurus	Metazoa
P02761	181	1	19	Rattus norvegicus	Metazoa
P02817	213	1	16	Bos taurus	Metazoa
P04421	147	1	18	Bos taurus	Metazoa
P04634	395	1	18	Rattus norvegicus	Metazoa
P04925	254	1	22	Mus musculus	Metazoa
P04937	2477	1	24	Rattus norvegicus	Metazoa
P05307	510	1	20	Bos taurus	Metazoa
P05371	447	1	21	Rattus norvegicus	Metazoa
P05545	416	1	20	Rattus norvegicus	Metazoa
P06868	812	1	26	Bos taurus	Metazoa
P07507	103	1	19	Bos taurus	Metazoa
P07897	2124	1	19	Rattus norvegicus	Metazoa
P08289	524	1	17	Rattus norvegicus	Metazoa
P08505	211	1	24	Mus musculus	Metazoa
P09056	203	1	23	Mus musculus	Metazoa
P10152	148	1	23	Bos taurus	Metazoa
P10889	100	1	27	Mus musculus	Metazoa
P12729	168	1	19	Dictyostelium discoideum	Amoebozoa
P12763	359	1	18	Bos taurus	Metazoa
P12961	212	1	26	Mus musculus	Metazoa
P13205	121	1	26	Rattus norvegicus	Metazoa
P14095	96	1	24	Rattus norvegicus	Metazoa
P14211	416	1	17	Mus musculus	Metazoa
P14562	407	1	21	Rattus norvegicus	Metazoa
P15497	265	1	18	Bos taurus	Metazoa
P16382	810	1	25	Mus musculus	Metazoa
P16882	650	1	24	Mus musculus	Metazoa
P17164	462	1	28	Rattus norvegicus	Metazoa
P17475	411	1	24	Rattus norvegicus	Metazoa
P17697	439	1	19	Bos taurus	Metazoa
P18181	240	1	22	Mus musculus	Metazoa
P18418	416	1	17	Rattus norvegicus	Metazoa
P20241	1302	1	23	Drosophila melanogaster	Metazoa
P20334	256	1	23	Mus musculus	Metazoa
P20826	273	1	25	Mus musculus	Metazoa
P20959	291	1	27	Bos taurus	Metazoa
P21588	576	1	28	Rattus norvegicus	Metazoa
P21744	254	1	21	Rattus norvegicus	Metazoa
P22057	189	1	24	Rattus norvegicus	Metazoa
P24090	352	1	18	Rattus norvegicus	Metazoa
P24627	708	1	19	Bos taurus	Metazoa
P32803	203	1	20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P35248	374	1	19	Rattus norvegicus	Metazoa
P35441	1170	1	18	Mus musculus	Metazoa
P36368	261	1	16	Mus musculus	Metazoa
P41361	465	1	32	Bos taurus	Metazoa
P45478	306	1	27	Bos taurus	Metazoa
P54837	211	1	20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P80067	462	1	24	Rattus norvegicus	Metazoa
P80109	839	1	23	Bos taurus	Metazoa
P80747	800	1	24	Bos taurus	Metazoa
Q05359	219	1	22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
Q08879	705	1	29	Mus musculus	Metazoa
Q09332	1548	1	22	Drosophila melanogaster	Metazoa
Q12127	133	1	18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
Q28143	456	1	35	Bos taurus	Metazoa
Q60675	3118	1	19	Mus musculus	Metazoa
Q60736	579	1	32	Mus musculus	Metazoa
Q61001	3718	1	40	Mus musculus	Metazoa
Q61508	559	1	19	Mus musculus	Metazoa
Q61738	1179	1	33	Mus musculus	Metazoa
Q63617	999	1	32	Rattus norvegicus	Metazoa
Q64277	311	1	24	Mus musculus	Metazoa
Q7TMF5	413	1	20	Mus musculus	Metazoa
Q8C1Q4	291	1	21	Mus musculus	Metazoa
Q968Z6	557	1	19	Dictyostelium discoideum	Amoebozoa
Q9LVC0	60	1	28	Arabidopsis thaliana	Viridiplantae
Q9LXD6	773	1	23	Arabidopsis thaliana	Viridiplantae
Q9SLY8	424	1	29	Oryza sativa subsp. japonica	Viridiplantae
Q9SU40	587	1	20	Arabidopsis thaliana	Viridiplantae
Q9VB68	377	1	26	Drosophila melanogaster	Metazoa
O08523	2155	1	24	Mus musculus	Metazoa
O08795	521	1	14	Mus musculus	Metazoa
O35310	311	1	20	Mus musculus	Metazoa
O77801	132	1	21	Bos taurus	Metazoa
O88917	1515	1	24	Rattus norvegicus	Metazoa
P00724	532	1	19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P01139	241	1	18	Mus musculus	Metazoa
P01161	152	1	24	Rattus norvegicus	Metazoa
P01239	229	1	30	Bos taurus	Metazoa
P01323	110	1	24	Rattus norvegicus	Metazoa
P01887	119	1	20	Mus musculus	Metazoa
P01900	365	1	24	Mus musculus	Metazoa
P02466	1372	1	22	Rattus norvegicus	Metazoa
P02663	222	1	15	Bos taurus	Metazoa
P02672	615	1	19	Bos taurus	Metazoa
P02770	608	1	18	Rattus norvegicus	Metazoa
P04276	476	1	16	Rattus norvegicus	Metazoa
P04916	201	1	18	Rattus norvegicus	Metazoa
P05059	449	1	18	Bos taurus	Metazoa
P05533	134	1	26	Mus musculus	Metazoa
P05555	1153	1	16	Mus musculus	Metazoa
P06332	457	1	26	Mus musculus	Metazoa
P07154	334	1	17	Rattus norvegicus	Metazoa
P07727	457	1	28	Rattus norvegicus	Metazoa
P07759	418	1	21	Mus musculus	Metazoa
P09487	524	1	17	Bos taurus	Metazoa
P0CX79	362	1	25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P10855	92	1	23	Mus musculus	Metazoa
P11590	178	1	16	Mus musculus	Metazoa
P12799	444	1	24	Bos taurus	Metazoa
P13432	146	1	22	Rattus norvegicus	Metazoa
P13599	366	1	22	Rattus norvegicus	Metazoa
P14423	146	1	21	Rattus norvegicus	Metazoa
P19137	3083	1	24	Mus musculus	Metazoa
P19427	201	1	18	Bos taurus	Metazoa
P21782	168	1	32	Bos taurus	Metazoa
P23389	646	1	20	Bos taurus	Metazoa
P23805	371	1	20	Bos taurus	Metazoa
P25236	385	1	19	Rattus norvegicus	Metazoa
P27654	210	1	19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P28053	469	1	18	Bos taurus	Metazoa
P28798	589	1	17	Mus musculus	Metazoa
P29029	562	1	20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P29788	478	1	19	Mus musculus	Metazoa
P30120	217	1	23	Rattus norvegicus	Metazoa
P31722	245	1	28	Rattus norvegicus	Metazoa
P32472	135	1	17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P35355	604	1	17	Rattus norvegicus	Metazoa
P37889	1221	1	26	Mus musculus	Metazoa
P38574	287	1	18	Bos taurus	Metazoa
P43555	445	1	28	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P47178	298	1	19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P48765	970	1	32	Bos taurus	Metazoa
P50229	92	1	23	Rattus norvegicus	Metazoa
P51868	413	1	19	Rattus norvegicus	Metazoa
P52193	417	1	17	Bos taurus	Metazoa
P54660	143	1	22	Dictyostelium discoideum	Amoebozoa
P54900	215	1	29	Rattus norvegicus	Metazoa
P80221	112	1	36	Bos taurus	Metazoa
Q01129	354	1	16	Rattus norvegicus	Metazoa
Q05927	574	1	26	Bos taurus	Metazoa
Q05928	177	1	31	Mus musculus	Metazoa
Q07310	1578	1	27	Rattus norvegicus	Metazoa
Q12396	444	1	46	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
Q556R7	303	1	24	Dictyostelium discoideum	Amoebozoa
Q60994	247	1	17	Mus musculus	Metazoa
Q61789	3330	1	31	Mus musculus	Metazoa
Q62718	344	1	32	Rattus norvegicus	Metazoa
Q63041	1500	1	24	Rattus norvegicus	Metazoa
Q6IUU3	750	1	32	Rattus norvegicus	Metazoa
Q6QD51	949	1	27	Rattus norvegicus	Metazoa
Q71DJ5	393	1	20	Arabidopsis thaliana	Viridiplantae
Q8BHN3	944	1	32	Mus musculus	Metazoa
Q8H8C7	356	1	28	Oryza sativa subsp. japonica	Viridiplantae
Q8MLZ7	441	1	23	Drosophila melanogaster	Metazoa
Q8MM24	439	1	20	Drosophila melanogaster	Metazoa
Q8VCS0	530	1	22	Mus musculus	Metazoa
Q8VCT4	565	1	18	Mus musculus	Metazoa
Q9ERQ6	571	1	30	Rattus norvegicus	Metazoa
Q9FXT4	417	1	55	Oryza sativa subsp. japonica	Viridiplantae
Q9N2I2	404	1	19	Bos taurus	Metazoa
Q9N4D8	123	1	17	Caenorhabditis elegans	Metazoa
Q9NAX4	464	1	17	Dictyostelium discoideum	Amoebozoa
Q9R1T7	200	1	20	Rattus norvegicus	Metazoa
Q9S7Y7	915	1	27	Arabidopsis thaliana	Viridiplantae
Q9TTE1	411	1	24	Bos taurus	Metazoa
Q9VYX7	203	1	26	Drosophila melanogaster	Metazoa
Q9Z0J8	348	1	31	Rattus norvegicus	Metazoa
Q9Z0K8	512	1	23	Mus musculus	Metazoa
B8JLQ9	363	1	24	Danio rerio	Metazoa
G5ED35	135	1	20	Caenorhabditis elegans	Metazoa
O02853	191	1	28	Bos taurus	Metazoa
O13547	238	1	22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
O35701	481	1	27	Mus musculus	Metazoa
O54861	825	1	31	Rattus norvegicus	Metazoa
O88188	162	1	19	Mus musculus	Metazoa
P00639	282	1	22	Bos taurus	Metazoa
P00669	150	1	26	Bos taurus	Metazoa
P00687	511	1	15	Mus musculus	Metazoa
P00697	148	1	18	Rattus norvegicus	Metazoa
P00711	142	1	19	Bos taurus	Metazoa
P00714	159	1	19	Rattus norvegicus	Metazoa
P01045	619	1	18	Bos taurus	Metazoa
P01179	125	1	19	Rattus norvegicus	Metazoa
P01322	110	1	24	Rattus norvegicus	Metazoa
P01346	180	1	24	Rattus norvegicus	Metazoa
P01347	186	1	22	Rattus norvegicus	Metazoa
P01572	189	1	23	Mus musculus	Metazoa
P02666	224	1	15	Bos taurus	Metazoa
P02668	190	1	21	Bos taurus	Metazoa
P02767	147	1	20	Rattus norvegicus	Metazoa
P02784	134	1	25	Bos taurus	Metazoa
P06399	782	1	19	Rattus norvegicus	Metazoa
P06797	334	1	17	Mus musculus	Metazoa
P07141	552	1	32	Mus musculus	Metazoa
P08796	514	1	19	Dictyostelium discoideum	Amoebozoa
P09470	1312	1	34	Mus musculus	Metazoa
P0CX78	362	1	25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P10279	264	1	24	Bos taurus	Metazoa
P10522	248	1	28	Bos taurus	Metazoa
P10758	165	1	21	Rattus norvegicus	Metazoa
P12346	698	1	19	Rattus norvegicus	Metazoa
P13504	576	1	19	Mus musculus	Metazoa
P13595	1115	1	19	Mus musculus	Metazoa
P14925	976	1	25	Rattus norvegicus	Metazoa
P15703	313	1	23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P16235	700	1	26	Rattus norvegicus	Metazoa
P16975	301	1	17	Rattus norvegicus	Metazoa
P18761	317	1	17	Mus musculus	Metazoa
P19313	141	1	27	Rattus norvegicus	Metazoa
P19324	417	1	17	Mus musculus	Metazoa
P19999	238	1	17	Rattus norvegicus	Metazoa
P20029	655	1	19	Mus musculus	Metazoa
P20068	169	1	22	Rattus norvegicus	Metazoa
P20239	713	1	34	Mus musculus	Metazoa
P21570	145	1	24	Mus musculus	Metazoa
P22146	559	1	22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P25031	175	1	26	Rattus norvegicus	Metazoa
P27274	126	1	22	Rattus norvegicus	Metazoa
P28319	239	1	20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P28665	1476	1	27	Mus musculus	Metazoa
P28800	492	1	22	Bos taurus	Metazoa
P28825	747	1	20	Mus musculus	Metazoa
P29457	417	1	17	Rattus norvegicus	Metazoa
P30121	220	1	26	Rattus norvegicus	Metazoa
P30348	100	1	31	Rattus norvegicus	Metazoa
P31720	245	1	22	Rattus norvegicus	Metazoa
P32802	667	1	22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P33767	430	1	20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P34115	730	1	20	Dictyostelium discoideum	Amoebozoa
P34116	734	1	20	Dictyostelium discoideum	Amoebozoa
P35053	558	1	23	Rattus norvegicus	Metazoa
P36511	530	1	23	Rattus norvegicus	Metazoa
P39039	239	1	18	Mus musculus	Metazoa
P47001	227	1	21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi
P54318	468	1	16	Rattus norvegicus	Metazoa
P56722	979	1	34	Bos taurus	Metazoa
Q02596	151	1	19	Mus musculus	Metazoa
Q05895	956	1	21	Mus musculus	Metazoa
Q26377	154	1	19	Drosophila melanogaster	Metazoa
Q3V1G4	746	1	20	Mus musculus	Metazoa
Q5XM24	494	1	18	Dictyostelium discoideum	Amoebozoa
Q61450	303	1	23	Mus musculus	Metazoa
Q62813	338	1	28	Rattus norvegicus	Metazoa
Q62867	317	1	24	Rattus norvegicus	Metazoa
Q63180	789	1	25	Rattus norvegicus	Metazoa
Q63373	468	1	46	Rattus norvegicus	Metazoa
Q63376	662	1	46	Rattus norvegicus	Metazoa
Q64610	887	1	27	Rattus norvegicus	Metazoa
Q868Z9	2898	1	26	Drosophila melanogaster	Metazoa
Q8WMP9	407	1	29	Bos taurus	Metazoa
Q91XZ2	779	1	28	Mus musculus	Metazoa
Q924B5	250	1	25	Rattus norvegicus	Metazoa
Q99ML8	113	1	23	Mus musculus	Metazoa
Q9JLA3	1551	1	42	Rattus norvegicus	Metazoa
Q9QYH7	117	1	23	Rattus norvegicus	Metazoa
Q9Z1K9	827	1	17	Rattus norvegicus	Metazoa
A5HAK0	149	1	22	Danio rerio	Metazoa
O09049	174	1	26	Mus musculus	Metazoa
O55232	130	1	32	Rattus norvegicus	Metazoa
P00688	508	1	15	Mus musculus	Metazoa
P00773	266	1	16	Rattus norvegicus	Metazoa
P01048	430	1	18	Rattus norvegicus	Metazoa
P01180	166	1	19	Bos taurus	Metazoa
P01317	105	1	24	Bos taurus	Metazoa
P01830	161	1	19	Rattus norvegicus	Metazoa
P01831	162	1	19	Mus musculus	Metazoa
P01888	118	1	20	Bos taurus	Metazoa
P01901	369	1	21	Mus musculus	Metazoa
P04639	259	1	18	Rattus norvegicus	Metazoa
P04785	509	1	19	Rattus norvegicus	Metazoa
P06281	402	1	21	Mus musculus	Metazoa
P07151	119	1	20	Rattus norvegicus	Metazoa
P07214	302	1	17	Mus musculus	Metazoa
P07456	179	1	24	Bos taurus	Metazoa
P07808	98	1	29	Rattus norvegicus	Metazoa
P08904	154	1	27	Bos taurus	Metazoa
P09655	79	1	18	Rattus norvegicus	Metazoa
P10761	424	1	22	Mus musculus	Metazoa
P10959	549	1	18	Rattus norvegicus	Metazoa
P11151	478	1	28	Bos taurus	Metazoa
P11438	406	1	24	Mus musculus	Metazoa
P11654	1886	1	25	Rattus norvegicus	Metazoa
P11911	220	1	28	Mus musculus	Metazoa
P15247	144	1	18	Mus musculus	Metazoa
P15261	477	1	25	Mus musculus	Metazoa
P15589	577	1	19	Rattus norvegicus	Metazoa
P21743	272	1	25	Rattus norvegicus	Metazoa
P22388	202	1	25	Rattus norvegicus	Metazoa
P24063	1162	1	23	Mus musculus	Metazoa
P24807	76	1	26	Mus musculus	Metazoa
P27773	505	1	24	Mus musculus	Metazoa
P28088	441	1	26	Bos taurus	Metazoa
P29288	327	1	22	Rattus norvegicus	Metazoa
P31211	396	1	22	Rattus norvegicus	Metazoa
P31809	521	1	34	Mus musculus	Metazoa
P31836	853	1	19	Bos taurus	Metazoa
P33487	198	1	33	Arabidopsis thaliana	Viridiplantae
P35859	603	1	23	Rattus norvegicus	Metazoa
P49259	1463	1	20	Bos taurus	Metazoa
P50228	132	1	40	Mus musculus	Metazoa
P55203	1110	1	56	Bos taurus	Metazoa
P60042	116	1	24	Rattus norvegicus	Metazoa
P61312	146	1	25	Rattus norvegicus	Metazoa
