Accession	Organism	Kingdom	Sequence length	transmembrane_term
Q9Y2W7	256	Homo sapiens	Metazoa	False
P49407	418	Homo sapiens	Metazoa	False
P78395	509	Homo sapiens	Metazoa	False
O75386	442	Homo sapiens	Metazoa	False
Q9HD47	186	Homo sapiens	Metazoa	False
O00408	941	Homo sapiens	Metazoa	False
Q9UP65	541	Homo sapiens	Metazoa	False
O43236	478	Homo sapiens	Metazoa	False
A9QM74	516	Homo sapiens	Metazoa	False
O00255	610	Homo sapiens	Metazoa	False
O00358	373	Homo sapiens	Metazoa	False
O14981	1849	Homo sapiens	Metazoa	False
O15042	1029	Homo sapiens	Metazoa	False
O15178	435	Homo sapiens	Metazoa	False
O15205	165	Homo sapiens	Metazoa	False
O15353	648	Homo sapiens	Metazoa	False
O43248	304	Homo sapiens	Metazoa	False
O43364	376	Homo sapiens	Metazoa	False
O43513	233	Homo sapiens	Metazoa	False
O43541	496	Homo sapiens	Metazoa	False
O60671	282	Homo sapiens	Metazoa	False
O75150	1001	Homo sapiens	Metazoa	False
O75446	220	Homo sapiens	Metazoa	False
O75506	76	Homo sapiens	Metazoa	False
O75528	432	Homo sapiens	Metazoa	False
O75529	589	Homo sapiens	Metazoa	False
O75575	148	Homo sapiens	Metazoa	False
O75643	2136	Homo sapiens	Metazoa	False
O94776	668	Homo sapiens	Metazoa	False
O94941	541	Homo sapiens	Metazoa	False
O95365	584	Homo sapiens	Metazoa	False
O95935	607	Homo sapiens	Metazoa	False
O96020	404	Homo sapiens	Metazoa	False
P08048	801	Homo sapiens	Metazoa	False
P08651	508	Homo sapiens	Metazoa	False
P09012	282	Homo sapiens	Metazoa	False
P09016	255	Homo sapiens	Metazoa	False
P0DJD3	496	Homo sapiens	Metazoa	False
P10244	700	Homo sapiens	Metazoa	False
P10914	325	Homo sapiens	Metazoa	False
P14651	431	Homo sapiens	Metazoa	False
P14653	301	Homo sapiens	Metazoa	False
P17014	697	Homo sapiens	Metazoa	False
P17028	368	Homo sapiens	Metazoa	False
P17275	347	Homo sapiens	Metazoa	False
P17481	243	Homo sapiens	Metazoa	False
P18847	181	Homo sapiens	Metazoa	False
P19622	333	Homo sapiens	Metazoa	False
P23025	273	Homo sapiens	Metazoa	False
P23760	479	Homo sapiens	Metazoa	False
P24468	414	Homo sapiens	Metazoa	False
P25208	207	Homo sapiens	Metazoa	False
P29083	439	Homo sapiens	Metazoa	False
P29374	1257	Homo sapiens	Metazoa	False
P30291	646	Homo sapiens	Metazoa	False
P31270	313	Homo sapiens	Metazoa	False
P31273	242	Homo sapiens	Metazoa	False
P31274	260	Homo sapiens	Metazoa	False
P32189	559	Homo sapiens	Metazoa	False
P32243	289	Homo sapiens	Metazoa	False
P32780	548	Homo sapiens	Metazoa	False
P33240	577	Homo sapiens	Metazoa	False
P35244	121	Homo sapiens	Metazoa	False
P35269	517	Homo sapiens	Metazoa	False
P35548	267	Homo sapiens	Metazoa	False
P35716	441	Homo sapiens	Metazoa	False
P38159	391	Homo sapiens	Metazoa	False
P41134	155	Homo sapiens	Metazoa	False
P41161	510	Homo sapiens	Metazoa	False
P41970	407	Homo sapiens	Metazoa	False
P48382	616	Homo sapiens	Metazoa	False
P48552	1158	Homo sapiens	Metazoa	False
P49848	677	Homo sapiens	Metazoa	False
P50539	228	Homo sapiens	Metazoa	False
P52434	150	Homo sapiens	Metazoa	False
P54132	1417	Homo sapiens	Metazoa	False
P55081	439	Homo sapiens	Metazoa	False
P55316	489	Homo sapiens	Metazoa	False
P55318	350	Homo sapiens	Metazoa	False
P56915	257	Homo sapiens	Metazoa	False
P59923	1031	Homo sapiens	Metazoa	False
Q00577	322	Homo sapiens	Metazoa	False
Q01196	453	Homo sapiens	Metazoa	False
Q01543	452	Homo sapiens	Metazoa	False
Q02080	365	Homo sapiens	Metazoa	False
Q02086	613	Homo sapiens	Metazoa	False
Q03060	345	Homo sapiens	Metazoa	False
Q03181	441	Homo sapiens	Metazoa	False
Q03701	1054	Homo sapiens	Metazoa	False
Q03923	595	Homo sapiens	Metazoa	False
Q04726	772	Homo sapiens	Metazoa	False
Q05519	484	Homo sapiens	Metazoa	False
Q06546	454	Homo sapiens	Metazoa	False
Q06710	450	Homo sapiens	Metazoa	False
Q08050	763	Homo sapiens	Metazoa	False
Q10586	325	Homo sapiens	Metazoa	False
Q12948	553	Homo sapiens	Metazoa	False
Q13064	507	Homo sapiens	Metazoa	False
Q13105	803	Homo sapiens	Metazoa	False
Q13156	261	Homo sapiens	Metazoa	False
Q13487	334	Homo sapiens	Metazoa	False
Q13950	521	Homo sapiens	Metazoa	False
Q14807	665	Homo sapiens	Metazoa	False
Q15022	739	Homo sapiens	Metazoa	False
Q15072	292	Homo sapiens	Metazoa	False
Q15327	319	Homo sapiens	Metazoa	False
Q15424	915	Homo sapiens	Metazoa	False
Q16560	246	Homo sapiens	Metazoa	False
Q16587	644	Homo sapiens	Metazoa	False
Q3YBR2	411	Homo sapiens	Metazoa	False
Q53HV7	270	Homo sapiens	Metazoa	False
Q53TQ3	1027	Homo sapiens	Metazoa	False
Q569K4	471	Homo sapiens	Metazoa	False
Q5H9F3	1785	Homo sapiens	Metazoa	False
Q5MJ70	313	Homo sapiens	Metazoa	False
Q5VUA4	2279	Homo sapiens	Metazoa	False
Q5VVY1	283	Homo sapiens	Metazoa	False
Q69YI7	327	Homo sapiens	Metazoa	False
Q6NXG1	681	Homo sapiens	Metazoa	False
Q6P1X5	1199	Homo sapiens	Metazoa	False
Q6P4F7	1023	Homo sapiens	Metazoa	False
Q6UB98	2062	Homo sapiens	Metazoa	False
Q70Z53	315	Homo sapiens	Metazoa	False
Q719H9	257	Homo sapiens	Metazoa	False
Q7RTV0	110	Homo sapiens	Metazoa	False
Q7Z3E1	657	Homo sapiens	Metazoa	False
Q7Z5Q5	900	Homo sapiens	Metazoa	False
Q86XI2	1143	Homo sapiens	Metazoa	False
Q8HWS3	928	Homo sapiens	Metazoa	False
Q8IUR6	639	Homo sapiens	Metazoa	False
Q8IV76	773	Homo sapiens	Metazoa	False
Q8IVW6	561	Homo sapiens	Metazoa	False
Q8IX15	550	Homo sapiens	Metazoa	False
Q8IY92	1834	Homo sapiens	Metazoa	False
Q8N5Y2	521	Homo sapiens	Metazoa	False
Q8NDX5	983	Homo sapiens	Metazoa	False
Q8NFW8	434	Homo sapiens	Metazoa	False
Q8WUA4	911	Homo sapiens	Metazoa	False
Q8WVY7	318	Homo sapiens	Metazoa	False
Q8WXA9	508	Homo sapiens	Metazoa	False
Q8WYA6	563	Homo sapiens	Metazoa	False
Q92698	747	Homo sapiens	Metazoa	False
Q92733	491	Homo sapiens	Metazoa	False
Q92826	284	Homo sapiens	Metazoa	False
Q92917	476	Homo sapiens	Metazoa	False
Q92966	411	Homo sapiens	Metazoa	False
Q92989	425	Homo sapiens	Metazoa	False
Q96AH0	204	Homo sapiens	Metazoa	False
Q96B23	404	Homo sapiens	Metazoa	False
Q96DB2	347	Homo sapiens	Metazoa	False
Q96JB3	615	Homo sapiens	Metazoa	False
Q96JP5	570	Homo sapiens	Metazoa	False
Q96K58	619	Homo sapiens	Metazoa	False
Q96KS0	407	Homo sapiens	Metazoa	False
Q96L50	414	Homo sapiens	Metazoa	False
Q96L73	2696	Homo sapiens	Metazoa	False
Q96LT9	517	Homo sapiens	Metazoa	False
Q96MH2	286	Homo sapiens	Metazoa	False
Q96N77	438	Homo sapiens	Metazoa	False
Q96NB3	372	Homo sapiens	Metazoa	False
Q96PV4	448	Homo sapiens	Metazoa	False
Q96RU7	358	Homo sapiens	Metazoa	False
Q96SI1	283	Homo sapiens	Metazoa	False
Q96T68	719	Homo sapiens	Metazoa	False
Q99504	573	Homo sapiens	Metazoa	False
Q99583	582	Homo sapiens	Metazoa	False
Q99612	283	Homo sapiens	Metazoa	False
Q99929	193	Homo sapiens	Metazoa	False
Q9BQ65	265	Homo sapiens	Metazoa	False
Q9BQ87	522	Homo sapiens	Metazoa	False
Q9BQI6	1058	Homo sapiens	Metazoa	False
Q9BRL6	282	Homo sapiens	Metazoa	False
Q9BSM1	259	Homo sapiens	Metazoa	False
Q9BTK6	254	Homo sapiens	Metazoa	False
Q9BW71	556	Homo sapiens	Metazoa	False
Q9BWJ5	86	Homo sapiens	Metazoa	False
Q9BXY8	128	Homo sapiens	Metazoa	False
Q9BY66	1539	Homo sapiens	Metazoa	False
Q9C0A1	2572	Homo sapiens	Metazoa	False
Q9H147	329	Homo sapiens	Metazoa	False
Q9H2F5	836	Homo sapiens	Metazoa	False
Q9H4I2	956	Homo sapiens	Metazoa	False
Q9H4Q4	367	Homo sapiens	Metazoa	False
Q9H4Z3	704	Homo sapiens	Metazoa	False
Q9HAW0	419	Homo sapiens	Metazoa	False
Q9HB65	397	Homo sapiens	Metazoa	False
Q9HB96	536	Homo sapiens	Metazoa	False
Q9HBE1	687	Homo sapiens	Metazoa	False
Q9HCU8	107	Homo sapiens	Metazoa	False
Q9NPJ6	270	Homo sapiens	Metazoa	False
Q9NQ92	184	Homo sapiens	Metazoa	False
Q9NR55	127	Homo sapiens	Metazoa	False
Q9NRL2	1556	Homo sapiens	Metazoa	False
Q9NSY1	1161	Homo sapiens	Metazoa	False
Q9NU63	452	Homo sapiens	Metazoa	False
Q9NV56	204	Homo sapiens	Metazoa	False
Q9NVU0	708	Homo sapiens	Metazoa	False
Q9NVW2	624	Homo sapiens	Metazoa	False
Q9NZC9	954	Homo sapiens	Metazoa	False
Q9NZI5	618	Homo sapiens	Metazoa	False
Q9NZI6	479	Homo sapiens	Metazoa	False
Q9NZQ3	722	Homo sapiens	Metazoa	False
Q9UBE0	346	Homo sapiens	Metazoa	False
Q9UBT6	870	Homo sapiens	Metazoa	False
Q9UFW8	167	Homo sapiens	Metazoa	False
Q9UH17	382	Homo sapiens	Metazoa	False
Q9UIG0	1483	Homo sapiens	Metazoa	False
Q9UMX2	235	Homo sapiens	Metazoa	False
Q9UNY5	444	Homo sapiens	Metazoa	False
Q9Y4X0	333	Homo sapiens	Metazoa	False
Q9Y4Y9	91	Homo sapiens	Metazoa	False
Q9Y4Z0	139	Homo sapiens	Metazoa	False
Q9Y5A7	615	Homo sapiens	Metazoa	False
Q9Y5P8	575	Homo sapiens	Metazoa	False
Q9Y5Q9	886	Homo sapiens	Metazoa	False
Q9Y603	341	Homo sapiens	Metazoa	False
Q9Y6J0	2220	Homo sapiens	Metazoa	False
Q9Y6J9	622	Homo sapiens	Metazoa	False
Q9Y6X8	837	Homo sapiens	Metazoa	False
Q7Z699	444	Homo sapiens	Metazoa	False
Q86YD1	416	Homo sapiens	Metazoa	False
Q8IWE4	304	Homo sapiens	Metazoa	False
Q14344	377	Homo sapiens	Metazoa	False
Q00535	292	Homo sapiens	Metazoa	False
Q15436	765	Homo sapiens	Metazoa	False
Q14980	2115	Homo sapiens	Metazoa	False
A8MW92	1017	Homo sapiens	Metazoa	False
A8MZ59	198	Homo sapiens	Metazoa	False
O00267	1087	Homo sapiens	Metazoa	False
O14867	736	Homo sapiens	Metazoa	False
O14948	347	Homo sapiens	Metazoa	False
O15014	1411	Homo sapiens	Metazoa	False
O15525	162	Homo sapiens	Metazoa	False
O43148	476	Homo sapiens	Metazoa	False
O43251	390	Homo sapiens	Metazoa	False
O43257	154	Homo sapiens	Metazoa	False
O43829	449	Homo sapiens	Metazoa	False
O60675	156	Homo sapiens	Metazoa	False
O60902	331	Homo sapiens	Metazoa	False
O75592	4678	Homo sapiens	Metazoa	False
O75840	302	Homo sapiens	Metazoa	False
O75909	580	Homo sapiens	Metazoa	False
O94851	1957	Homo sapiens	Metazoa	False
O94864	414	Homo sapiens	Metazoa	False
O94888	489	Homo sapiens	Metazoa	False
O95104	1147	Homo sapiens	Metazoa	False
O95319	508	Homo sapiens	Metazoa	False
O95600	359	Homo sapiens	Metazoa	False
O95619	227	Homo sapiens	Metazoa	False
O95926	243	Homo sapiens	Metazoa	False
P04053	509	Homo sapiens	Metazoa	False
P05412	331	Homo sapiens	Metazoa	False
P05549	437	Homo sapiens	Metazoa	False
P05771	671	Homo sapiens	Metazoa	False
P08579	225	Homo sapiens	Metazoa	False
P09067	269	Homo sapiens	Metazoa	False
P09234	159	Homo sapiens	Metazoa	False
P09629	217	Homo sapiens	Metazoa	False
P09661	255	Homo sapiens	Metazoa	False
P0DJD4	496	Homo sapiens	Metazoa	False
P0DPK5	147	Homo sapiens	Metazoa	False
P11831	508	Homo sapiens	Metazoa	False
P13349	255	Homo sapiens	Metazoa	False
P15863	534	Homo sapiens	Metazoa	False
P17482	250	Homo sapiens	Metazoa	False
P19388	210	Homo sapiens	Metazoa	False
P20265	443	Homo sapiens	Metazoa	False
P20719	270	Homo sapiens	Metazoa	False
P22670	979	Homo sapiens	Metazoa	False
P23769	480	Homo sapiens	Metazoa	False
P23771	443	Homo sapiens	Metazoa	False
P24522	165	Homo sapiens	Metazoa	False
P27361	379	Homo sapiens	Metazoa	False
P28324	431	Homo sapiens	Metazoa	False
P29558	406	Homo sapiens	Metazoa	False
P31249	432	Homo sapiens	Metazoa	False
P31629	2446	Homo sapiens	Metazoa	False
P32519	619	Homo sapiens	Metazoa	False
P35227	344	Homo sapiens	Metazoa	False
P35251	1148	Homo sapiens	Metazoa	False
P35398	523	Homo sapiens	Metazoa	False
P35680	557	Homo sapiens	Metazoa	False
P36957	453	Homo sapiens	Metazoa	False
P40424	430	Homo sapiens	Metazoa	False
P41182	706	Homo sapiens	Metazoa	False
P41212	452	Homo sapiens	Metazoa	False
P41235	474	Homo sapiens	Metazoa	False
P48380	749	Homo sapiens	Metazoa	False
P49116	596	Homo sapiens	Metazoa	False
P49335	361	Homo sapiens	Metazoa	False
P49917	911	Homo sapiens	Metazoa	False
P50219	401	Homo sapiens	Metazoa	False
P61218	127	Homo sapiens	Metazoa	False
P61289	254	Homo sapiens	Metazoa	False
P61964	334	Homo sapiens	Metazoa	False
P63272	117	Homo sapiens	Metazoa	False
P83369	360	Homo sapiens	Metazoa	False
Q00056	320	Homo sapiens	Metazoa	False
Q00688	224	Homo sapiens	Metazoa	False
Q01094	437	Homo sapiens	Metazoa	False
Q02962	417	Homo sapiens	Metazoa	False
Q03164	3969	Homo sapiens	Metazoa	False
Q03989	594	Homo sapiens	Metazoa	False
Q04727	773	Homo sapiens	Metazoa	False
Q05923	314	Homo sapiens	Metazoa	False
Q06455	604	Homo sapiens	Metazoa	False
Q09666	5890	Homo sapiens	Metazoa	False
Q12789	2109	Homo sapiens	Metazoa	False
Q12800	502	Homo sapiens	Metazoa	False
Q12951	378	Homo sapiens	Metazoa	False
Q12952	345	Homo sapiens	Metazoa	False
Q12986	1120	Homo sapiens	Metazoa	False
Q13115	394	Homo sapiens	Metazoa	False
Q13356	520	Homo sapiens	Metazoa	False
Q13562	356	Homo sapiens	Metazoa	False
Q13886	244	Homo sapiens	Metazoa	False
Q13952	458	Homo sapiens	Metazoa	False
Q14209	437	Homo sapiens	Metazoa	False
Q14241	772	Homo sapiens	Metazoa	False
Q14320	339	Homo sapiens	Metazoa	False
Q14997	1843	Homo sapiens	Metazoa	False
Q15014	288	Homo sapiens	Metazoa	False
Q15029	972	Homo sapiens	Metazoa	False
Q15054	466	Homo sapiens	Metazoa	False
Q15170	159	Homo sapiens	Metazoa	False
Q15428	464	Homo sapiens	Metazoa	False
Q15561	434	Homo sapiens	Metazoa	False
Q15637	639	Homo sapiens	Metazoa	False
Q15672	202	Homo sapiens	Metazoa	False
Q15916	424	Homo sapiens	Metazoa	False
Q16656	503	Homo sapiens	Metazoa	False
Q53GS9	565	Homo sapiens	Metazoa	False
Q53H80	203	Homo sapiens	Metazoa	False
Q5TB30	811	Homo sapiens	Metazoa	False
Q5TD97	284	Homo sapiens	Metazoa	False
Q5VWG9	929	Homo sapiens	Metazoa	False
Q5XKR4	325	Homo sapiens	Metazoa	False
Q63HK5	1081	Homo sapiens	Metazoa	False
Q659A1	982	Homo sapiens	Metazoa	False
Q68CP9	1835	Homo sapiens	Metazoa	False
Q68DK7	614	Homo sapiens	Metazoa	False
Q6NZ36	180	Homo sapiens	Metazoa	False
Q6P1J9	531	Homo sapiens	Metazoa	False
Q6P2C8	311	Homo sapiens	Metazoa	False
Q6P2Q9	2335	Homo sapiens	Metazoa	False
Q6PI98	192	Homo sapiens	Metazoa	False
Q6PIW4	674	Homo sapiens	Metazoa	False
Q6PJP8	1040	Homo sapiens	Metazoa	False
Q6UWZ7	409	Homo sapiens	Metazoa	False
Q6ZYL4	71	Homo sapiens	Metazoa	False
Q7Z4V5	671	Homo sapiens	Metazoa	False
Q86VZ6	243	Homo sapiens	Metazoa	False
Q86W42	341	Homo sapiens	Metazoa	False
Q86Y97	462	Homo sapiens	Metazoa	False
Q8N165	341	Homo sapiens	Metazoa	False
Q8N635	442	Homo sapiens	Metazoa	False
Q8NAV1	312	Homo sapiens	Metazoa	False
Q8TAS1	419	Homo sapiens	Metazoa	False
Q8TE85	626	Homo sapiens	Metazoa	False
Q8TEA8	209	Homo sapiens	Metazoa	False
Q8TEK3	1537	Homo sapiens	Metazoa	False
Q8WUU5	269	Homo sapiens	Metazoa	False
Q8WX92	580	Homo sapiens	Metazoa	False
Q8WXE1	791	Homo sapiens	Metazoa	False
Q8WZ19	329	Homo sapiens	Metazoa	False
Q8WZ42	34350	Homo sapiens	Metazoa	False
Q92565	580	Homo sapiens	Metazoa	False
Q92620	1227	Homo sapiens	Metazoa	False
Q92759	462	Homo sapiens	Metazoa	False
Q92800	747	Homo sapiens	Metazoa	False
Q969J2	545	Homo sapiens	Metazoa	False
Q969S2	332	Homo sapiens	Metazoa	False
Q96A72	148	Homo sapiens	Metazoa	False
Q96BP3	646	Homo sapiens	Metazoa	False
Q96G74	571	Homo sapiens	Metazoa	False
Q96H86	408	Homo sapiens	Metazoa	False
Q96JN0	433	Homo sapiens	Metazoa	False
Q96M94	604	Homo sapiens	Metazoa	False
Q96MG7	304	Homo sapiens	Metazoa	False
Q96PZ0	661	Homo sapiens	Metazoa	False
Q96QR8	312	Homo sapiens	Metazoa	False
Q96QT6	1004	Homo sapiens	Metazoa	False
Q96RI1	486	Homo sapiens	Metazoa	False
Q96S53	571	Homo sapiens	Metazoa	False
Q96ST2	819	Homo sapiens	Metazoa	False
Q96SZ4	780	Homo sapiens	Metazoa	False
Q99594	435	Homo sapiens	Metazoa	False
Q99990	258	Homo sapiens	Metazoa	False
Q9BQA5	517	Homo sapiens	Metazoa	False
Q9BRJ7	211	Homo sapiens	Metazoa	False
Q9BTF0	503	Homo sapiens	Metazoa	False
Q9BUJ2	856	Homo sapiens	Metazoa	False
Q9BUU2	404	Homo sapiens	Metazoa	False
Q9BWC9	280	Homo sapiens	Metazoa	False
Q9BY27	220	Homo sapiens	Metazoa	False
Q9GZR1	1112	Homo sapiens	Metazoa	False
Q9H160	280	Homo sapiens	Metazoa	False
Q9H161	411	Homo sapiens	Metazoa	False
Q9H2G4	693	Homo sapiens	Metazoa	False
Q9H2S9	585	Homo sapiens	Metazoa	False
Q9H3F6	313	Homo sapiens	Metazoa	False
Q9H3P2	528	Homo sapiens	Metazoa	False
Q9H4W6	596	Homo sapiens	Metazoa	False
Q9H6T0	727	Homo sapiens	Metazoa	False
Q9H8M2	597	Homo sapiens	Metazoa	False
Q9H9A7	625	Homo sapiens	Metazoa	False
Q9HCE5	456	Homo sapiens	Metazoa	False
Q9HCS4	588	Homo sapiens	Metazoa	False
Q9HCS7	855	Homo sapiens	Metazoa	False
Q9NPC7	610	Homo sapiens	Metazoa	False
Q9NPD8	197	Homo sapiens	Metazoa	False
Q9NPI8	374	Homo sapiens	Metazoa	False
Q9NQ31	210	Homo sapiens	Metazoa	False
Q9NQG5	326	Homo sapiens	Metazoa	False
Q9NQV6	1147	Homo sapiens	Metazoa	False
Q9NTW7	645	Homo sapiens	Metazoa	False
Q9NYD6	342	Homo sapiens	Metazoa	False
Q9NYW8	714	Homo sapiens	Metazoa	False
Q9NZ71	1219	Homo sapiens	Metazoa	False
Q9NZC4	300	Homo sapiens	Metazoa	False
Q9P2R6	1566	Homo sapiens	Metazoa	False
Q9UBC0	465	Homo sapiens	Metazoa	False
Q9UBP6	276	Homo sapiens	Metazoa	False
Q9UBW7	1377	Homo sapiens	Metazoa	False
Q9UBX0	185	Homo sapiens	Metazoa	False
Q9UHH9	426	Homo sapiens	Metazoa	False
Q9UHK0	495	Homo sapiens	Metazoa	False
Q9UI36	758	Homo sapiens	Metazoa	False
Q9UID6	485	Homo sapiens	Metazoa	False
Q9UK45	103	Homo sapiens	Metazoa	False
Q9UKF6	684	Homo sapiens	Metazoa	False
Q9UL49	500	Homo sapiens	Metazoa	False
Q9ULD5	831	Homo sapiens	Metazoa	False
Q9ULX9	164	Homo sapiens	Metazoa	False
Q9UPN9	1127	Homo sapiens	Metazoa	False
Q9Y2P7	627	Homo sapiens	Metazoa	False
Q9Y2U9	406	Homo sapiens	Metazoa	False
Q9Y3B4	125	Homo sapiens	Metazoa	False
Q9Y4X4	402	Homo sapiens	Metazoa	False
Q9Y535	204	Homo sapiens	Metazoa	False
Q9Y5Q8	519	Homo sapiens	Metazoa	False
Q9Y6F8	540	Homo sapiens	Metazoa	False
Q9Y6W3	813	Homo sapiens	Metazoa	False
Q8N9F0	302	Homo sapiens	Metazoa	False
Q15750	504	Homo sapiens	Metazoa	False
O14907	124	Homo sapiens	Metazoa	False
F4IAX1	681	Arabidopsis thaliana	Viridiplantae	False
O62140	674	Caenorhabditis elegans	Metazoa	False
O64883	560	Arabidopsis thaliana	Viridiplantae	False
O82399	354	Arabidopsis thaliana	Viridiplantae	False
O96759	611	Dictyostelium discoideum	Amoebozoa	False
P07871	424	Rattus norvegicus	Metazoa	False
P38998	373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P59047	1200	Homo sapiens	Metazoa	False
P97562	681	Rattus norvegicus	Metazoa	False
Q05871	280	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q07523	353	Rattus norvegicus	Metazoa	False
Q20992	667	Caenorhabditis elegans	Metazoa	False
Q27487	500	Caenorhabditis elegans	Metazoa	False
Q6Q2Z6	421	Mus musculus	Metazoa	False
Q8BWN8	421	Mus musculus	Metazoa	False
Q99P30	236	Mus musculus	Metazoa	False
Q9C9W5	386	Arabidopsis thaliana	Viridiplantae	False
Q9EQR2	644	Rattus norvegicus	Metazoa	False
Q9LR30	481	Arabidopsis thaliana	Viridiplantae	False
Q9M0X9	544	Arabidopsis thaliana	Viridiplantae	False
Q9QYR7	432	Mus musculus	Metazoa	False
Q9S7E9	481	Arabidopsis thaliana	Viridiplantae	False
Q9S850	393	Arabidopsis thaliana	Viridiplantae	False
Q9STS1	503	Arabidopsis thaliana	Viridiplantae	False
Q9ZP05	354	Arabidopsis thaliana	Viridiplantae	False
Q9ZPI5	725	Arabidopsis thaliana	Viridiplantae	False
P12931	536	Homo sapiens	Metazoa	False
P49903	392	Homo sapiens	Metazoa	False
Q7L2E3	1194	Homo sapiens	Metazoa	False
O00213	710	Homo sapiens	Metazoa	False
P07332	822	Homo sapiens	Metazoa	False
P10636	758	Homo sapiens	Metazoa	False
Q9NYJ8	693	Homo sapiens	Metazoa	False
Q9Y6I9	313	Homo sapiens	Metazoa	False
E0CX11	47	Homo sapiens	Metazoa	True
O14925	209	Homo sapiens	Metazoa	True
O75964	103	Homo sapiens	Metazoa	False
O96000	172	Homo sapiens	Metazoa	False
P30049	168	Homo sapiens	Metazoa	False
P50416	773	Homo sapiens	Metazoa	True
P56381	51	Homo sapiens	Metazoa	False
P56385	69	Homo sapiens	Metazoa	False
P57105	145	Homo sapiens	Metazoa	False
Q16891	758	Homo sapiens	Metazoa	True
Q5XKP0	118	Homo sapiens	Metazoa	True
Q86UT6	975	Homo sapiens	Metazoa	False
Q8NAN2	632	Homo sapiens	Metazoa	True
Q92843	193	Homo sapiens	Metazoa	False
Q96H96	371	Homo sapiens	Metazoa	True
Q96KR6	192	Homo sapiens	Metazoa	False
Q96TA2	773	Homo sapiens	Metazoa	False
Q9H3K2	345	Homo sapiens	Metazoa	True
Q9NUT2	735	Homo sapiens	Metazoa	False
Q9NX14	153	Homo sapiens	Metazoa	True
Q9Y2C4	368	Homo sapiens	Metazoa	False
Q9Y3E5	179	Homo sapiens	Metazoa	True
Q9Y5U8	109	Homo sapiens	Metazoa	True
O14880	152	Homo sapiens	Metazoa	True
O43819	266	Homo sapiens	Metazoa	True
O75880	301	Homo sapiens	Metazoa	False
O75947	161	Homo sapiens	Metazoa	False
O96008	361	Homo sapiens	Metazoa	False
P0CG48	685	Homo sapiens	Metazoa	False
P24539	256	Homo sapiens	Metazoa	False
P40939	763	Homo sapiens	Metazoa	False
P45880	294	Homo sapiens	Metazoa	False
Q16611	211	Homo sapiens	Metazoa	False
Q6DKK2	380	Homo sapiens	Metazoa	False
Q6Q0C1	308	Homo sapiens	Metazoa	False
Q7KZN9	410	Homo sapiens	Metazoa	True
Q8N5M1	289	Homo sapiens	Metazoa	False
Q96AG3	418	Homo sapiens	Metazoa	False
Q96LL9	226	Homo sapiens	Metazoa	False
Q9H1U9	297	Homo sapiens	Metazoa	False
Q9UQ90	795	Homo sapiens	Metazoa	False
Q8TCG2	481	Homo sapiens	Metazoa	False
Q96GD0	296	Homo sapiens	Metazoa	False
P55789	205	Homo sapiens	Metazoa	False
Q6PI48	645	Homo sapiens	Metazoa	False
Q9H902	201	Homo sapiens	Metazoa	True
P40337	213	Homo sapiens	Metazoa	False
O00165	279	Homo sapiens	Metazoa	False
P14408	507	Rattus norvegicus	Metazoa	False
Q80UF7	732	Mus musculus	Metazoa	False
Q91VR5	740	Mus musculus	Metazoa	False
Q9D3F7	229	Mus musculus	Metazoa	False
O14512	581	Homo sapiens	Metazoa	False
Q5JTC6	1135	Homo sapiens	Metazoa	False
Q96PX9	1627	Homo sapiens	Metazoa	False
Q06609	339	Homo sapiens	Metazoa	False
A2A9C3	3431	Mus musculus	Metazoa	False
A2AKK5	416	Mus musculus	Metazoa	False
G5EDP2	412	Caenorhabditis elegans	Metazoa	False
P21775	434	Rattus norvegicus	Metazoa	False
P32573	292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P35182	281	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
P57093	338	Rattus norvegicus	Metazoa	False
Q12524	340	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q42547	492	Arabidopsis thaliana	Viridiplantae	False
Q7X809	484	Oryza sativa subsp. japonica	Viridiplantae	False
Q8BGC4	377	Mus musculus	Metazoa	False
Q8CHM7	581	Rattus norvegicus	Metazoa	False
Q8L866	776	Arabidopsis thaliana	Viridiplantae	False
Q8VZD4	709	Arabidopsis thaliana	Viridiplantae	False
Q9LYT1	488	Arabidopsis thaliana	Viridiplantae	False
Q9NYQ2	353	Mus musculus	Metazoa	False
Q9S9W2	254	Arabidopsis thaliana	Viridiplantae	False
A6NK89	507	Homo sapiens	Metazoa	False
P23508	829	Homo sapiens	Metazoa	False
O14521	159	Homo sapiens	Metazoa	True
O75431	263	Homo sapiens	Metazoa	False
P22557	587	Homo sapiens	Metazoa	False
Q10713	525	Homo sapiens	Metazoa	False
Q5TEU4	345	Homo sapiens	Metazoa	False
Q96CU9	486	Homo sapiens	Metazoa	True
Q96GZ6	507	Homo sapiens	Metazoa	True
Q96I51	464	Homo sapiens	Metazoa	False
Q9BZJ4	359	Homo sapiens	Metazoa	False
Q9NZJ6	369	Homo sapiens	Metazoa	False
Q9Y584	194	Homo sapiens	Metazoa	True
Q8NFG4	579	Homo sapiens	Metazoa	False
P27796	417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
